Unnamed: 0,stop_id,stop_name,stop_lat,stop_lon,clust,geometry
0,1166,ATOCHA,40.40720785136976,-3.689686881095485,1675,POINT (-3.6893 40.40659)
1,3648,FUENTE DE LA MORA,40.484860000000005,-3.6627575,948,POINT (-3.66282 40.48475)
2,3649,AEROPUERTO T4,40.49188949157715,-3.5934693752861024,148,POINT (-3.59333 40.49177)
3,2911,VALDEBEBAS,40.482582,-3.616702,137,POINT (-3.61642 40.4823)
4,1917,CHAMARTÍN,40.47176035416658,-3.682478527573055,2095,POINT (-3.68247 40.4721)
5,1183,DELICIAS,40.40045666666666,-3.6933166666666666,1639,POINT (-3.69277 40.40037)
6,2917,MÉNDEZ ÁLVARO,40.39445420491536,-3.678525326071845,1661,POINT (-3.67808 40.39538)
7,2131,NUEVOS MINISTERIOS,40.44585615384615,-3.691413846153846,1798,POINT (-3.69234 40.44662)
8,380,PIRÁMIDES,40.402476666666665,-3.7113066666666668,1823,POINT (-3.71134 40.4026)
9,1562,PRÍNCIPE PÍO,40.42066721516904,-3.7204825373687576,1539,POINT (-3.72026 40.42107)
17,1097,ASAMBLEA DE MADRID-ENTREVÍAS,40.38141142857143,-3.668938571428572,1398,POINT (-3.668 40.38167)
18,3312,POZO EL,40.375701666666664,-3.656511666666667,1365,POINT (-3.65623 40.3759)
19,1039,SANTA EUGENIA,40.38679,-3.6084099999999997,319,POINT (-3.60906 40.38699)
20,1027,VALLECAS,40.382122499999994,-3.6254831249999997,303,POINT (-3.62455 40.38221)
21,1073,VICÁLVARO,40.401871142758004,-3.5964437658760535,496,POINT (-3.59593 40.40132)
22,par_5_122,SOL,40.41685,-3.70309,1869,POINT (-3.70309 40.41685)
23,3622,MIRASIERRA-PACO DE LUCÍA,40.49936333333333,-3.7088099999999997,712,POINT (-3.70918 40.49971)
24,4282,PITIS,40.494872,-3.7255460000000005,700,POINT (-3.72584 40.4951)
25,1376,RAMÓN Y CAJAL,40.48757019680446,-3.6967644178517656,2018,POINT (-3.69473 40.48824)
26,par_5_69,SAN CRISTÓBAL DE LOS ANGELES,40.34236,-3.68385,276,POINT (-3.68385 40.34236)
27,par_5_70,SAN CRISTÓBAL INDUSTRIAL,40.33191,-3.69872,380,POINT (-3.69872 40.33191)
28,4980,VILLAVERDE BAJO,40.352828869628894,-3.6834832805887867,404,POINT (-3.68398 40.35264)
30,par_5_15,CANTOBLANCO UNIVERSIDAD,40.54378,-3.70034,38,POINT (-3.70034 40.54378)
31,2994,FUENCARRAL,40.501490000000004,-3.682375,348,POINT (-3.68234 40.50156)
33,par_5_84,UNIVERSIDAD P. COMILLAS,40.55406,-3.68334,31,POINT (-3.68334 40.55406)
34,2856,VILLAVERDE ALTO,40.34194266967868,-3.713688692944713,390,POINT (-3.71193 40.34123)
35,371,ÁGUILAS LAS,40.381233333333334,-3.7801999999999993,1246,POINT (-3.78027 40.38119)
36,4826,CUATRO VIENTOS,40.37811486289527,-3.79229767655417,439,POINT (-3.79143 40.37771)
37,4995,DOCE DE OCTUBRE,40.379135,-3.69868,533,POINT (-3.69861 40.37896)
38,2355,EMBAJADORES,40.40498923076924,-3.70270923076923,1642,POINT (-3.70262 40.40513)
39,656,FANJUL,40.38371,-3.7682566666666664,925,POINT (-3.76856 40.38365)
40,2262,LAGUNA,40.39923,-3.7443466666666665,1215,POINT (-3.74422 40.39918)
41,par_5_52,ORCASITAS,40.36691,-3.70442,660,POINT (-3.70442 40.36691)
42,1193,PUENTE ALCOCER,40.35009477035813,-3.7056550762389553,397,POINT (-3.70516 40.35028)
43,2277,ALUCHE,40.38562654550389,-3.761381633616169,1271,POINT (-3.76074 40.38563)
45,3798,BARRIAL-C.COM.POZUELO EL,40.46483333333333,-3.808343333333333,80,POINT (-3.80774 40.46537)
46,par_10_23,ARAVACA,40.44833,-3.785885,95,POINT (-3.78586 40.44833)
47,137,PINAR DE CHAMARTIN,40.480092,-3.6670700000000003,982,POINT (-3.66684 40.48014)
55,5404,VIRGEN DEL CORTIJO,40.487375,-3.6608549999999997,954,POINT (-3.66098 40.48734)
58,par_10_4,ANTONIO SAURA,40.48546,-3.65353,818,POINT (-3.65353 40.48546)
60,4221,ALVAREZ DE VILLAAMIL,40.489286666666665,-3.65132,819,POINT (-3.65136 40.48905)
62,5421,BLASCO IBAÑEZ,40.49416599999999,-3.6563159999999995,910,POINT (-3.65584 40.49368)
65,par_10_7,MARIA TUDOR,40.49717,-3.65889,881,POINT (-3.65889 40.49717)
69,3610,PALAS DE REY,40.50526333333333,-3.6650650000000002,852,POINT (-3.66507 40.50544)
71,1866,LAS TABLAS,40.508922142857145,-3.6697800000000003,855,POINT (-3.66932 40.50824)
82,2640,COLONIA JARDIN,40.39692272013648,-3.774405596817784,1114,POINT (-3.77456 40.39698)
1131,1486,INTERCAMBIADOR DE PLAZA CASTILLA,40.46706741652269,-3.6892016930594824,2108,POINT (-3.6904890537262 40.4666328430176)
1200,1292,AV.AMÉRICA-CANILLEJAS,40.44982306070964,-3.6087022241973874,788,POINT (-3.60798239707947 40.4500885009766)
1201,1280,INTERCAMBIADOR DE AVENIDA AMÉRICA,40.43788426839192,-3.676591067242092,1969,POINT (-3.67649960517883 40.4384384155273)
1204,1284,AV.AMERICA-ARTURO SORIA,40.44707740635464,-3.651807251347133,1917,POINT (-3.65236043930054 40.4478378295898)
1206,4168,AV.LOGROÑO-PZA.PAJARONES,40.47542339202883,-3.582526896305085,214,POINT (-3.58230257034302 40.4752578735352)
1212,2112,CTRA.A2-POL.IND.LAS MERCEDES,40.450488801676435,-3.5811785787455235,203,POINT (-3.58112573623657 40.4495964050293)
1213,par_8_07207,CTRA.A2-COL.FIN DE SEMANA,40.4494171142578,-3.56792831420898,196,POINT (-3.56792831420898 40.4494171142578)
1214,par_8_07208,CTRA.A2-HOTEL,40.449430465698256,-3.55799889564514,134,POINT (-3.55829167366028 40.4491844177246)
1215,par_8_07209,CTRA.A2-PEGASO CITY,40.44844436645511,-3.5483325719833347,47,POINT (-3.54791712760925 40.4481086730957)
1219,par_8_07301,CTRA.A2-COL.FIN DE SEMANA,40.449878692627,-3.56593918800354,198,POINT (-3.56593918800354 40.449878692627)
1220,par_8_07302,CTRA.A2-BARRIO DEL AEROPUERTO,40.4503173828125,-3.57906818389893,205,POINT (-3.57906818389893 40.4503173828125)
1221,1296,CTRA.A2-INSTITUTO,40.449960508422855,-3.59637611058553,232,POINT (-3.59655666351318 40.4502830505371)
1222,1283,AV.AMERICA-PARQUE AVENIDAS,40.443276022949206,-3.665143825798035,1934,POINT (-3.66522765159607 40.4432220458984)
1224,4770,AV.AMERICA-HOTEL,40.44037149230955,-3.67020818134308,1882,POINT (-3.67024636268616 40.4404029846191)
1225,1287,AV.AMERICA-PQUE.CONDE ORGAZ,40.44906700398763,-3.640425724817913,813,POINT (-3.64029717445374 40.4491310119629)
1228,1199,HNOS.GªNOBLEJAS-CIUDAD LINEAL,40.43780393828005,-3.638080606430767,2135,POINT (-3.6374036385846 40.4367136296803)
1229,4784,AV.ARCENTALES-PZA.GRECIA,40.43501626917,-3.608884587047948,1048,POINT (-3.60913927404085 40.4350822488211)
1230,11760,AV.ARCENTALES-AV.CANILLEJAS A VICÁLVARO,40.433508474603585,-3.6122072161053813,1051,POINT (-3.61134154256949 40.4348093645002)
1232,242,ASCAO-JULIÁN CAMARILLO,40.432808455118405,-3.6341642415433113,2129,POINT (-3.63446509204144 40.4326577589938)
1234,par_8_3016,AV.ARCENTALES-SAN ROMUALDO,40.43377850882585,-3.617993457219,1016,POINT (-3.61795681109194 40.4336390662383)
1240,17388,ESTOCOLMO-ESTADIO METROPOLITANO,40.43365349477683,-3.6024115316794902,613,POINT (-3.60277459503847 40.4339804843305)
1241,244,METRO GARCÍA NOBLEJAS,40.430073952598,-3.631710136627181,1979,POINT (-3.63158998244333 40.4303041527264)
1243,980,EMILIO MUÑOZ-STA.LEONOR,40.431717189539626,-3.628473257319705,994,POINT (-3.62843100493287 40.4316276637467)
1245,982,EMILIO MUÑOZ-ALFONSO GOMEZ,40.43323881096222,-3.62520313583208,1021,POINT (-3.62509723546392 40.4331862659467)
1247,984,EMILIO MUÑOZ-MIGUEL YUSTE,40.434362023127804,-3.6229548688926925,1022,POINT (-3.62289118692677 40.4343152812259)
1249,7101,BOYER-LOS CAVILAS,40.402381754914664,-3.5908801853223333,497,POINT (-3.59079049348868 40.4023488069269)
1250,7102,BOYER-CTRA.COSLADA,40.40447155646328,-3.587443601934945,491,POINT (-3.58720288239951 40.4044661770276)
1253,1069,SAN CIPRIANO-JARDIN DE LA DUQUESA,40.40403102870575,-3.604568675284078,527,POINT (-3.60459374010674 40.4040882605268)
1254,1074,SAN CIPRIANO-Pº ARTILLEROS,40.404980450622894,-3.6088934992251125,506,POINT (-3.6084490027989 40.4042752436857)
1257,1210,AV.CANILLEJAS AV VICALVARO-TOSCANA,40.419513065654826,-3.61104820381498,1036,POINT (-3.61116728476202 40.4194680493106)
1259,1213,Pº ARTILLEROS-CALAHORRA,40.40862046835976,-3.6098517788594084,503,POINT (-3.60967293171706 40.4080075230359)
1260,4230,PZA.ALSACIA-ALSACIA,40.41790003638667,-3.623683586062259,1718,POINT (-3.62294944668485 40.4176304002534)
1261,4012,GRAN VÍA DEL ESTE-RIVAS,40.40315219187975,-3.5946353020578723,494,POINT (-3.59511154112756 40.4032545733605)
1263,4210,AQUITANIA-TOSCANA,40.4206987319109,-3.612470642018595,1037,POINT (-3.61245128403719 40.4206774638218)
1264,4400,AV.GUADALAJARA-SAN ROMAN DEL VALLE,40.4196017994273,-3.62021577616875,1716,POINT (-3.6202915523375 40.4195635988546)
1265,4507,AV.GUADALAJARA-AMPOSTA,40.4208140815753,-3.61689046270417,1544,POINT (-3.61686092540834 40.4207981631506)
1266,1208,AV.GUADALAJARA-ALBERICIA,40.422107873093,-3.6122228900686073,1038,POINT (-3.61318394952683 40.4221780757546)
1272,4612,AV.CANILLEJAS A VICALVARO-M40,40.4168095786522,-3.610717593442422,1033,POINT (-3.61087255914339 40.4168570083053)
1274,4636,AQUITANIA-CAPRI,40.417967003155596,-3.62004488977886,1715,POINT (-3.62009977955772 40.4179340063112)
1275,4637,AQUITANIA-REPUBLICA ESLOVACA,40.41950835863735,-3.615757347302285,1543,POINT (-3.61576469460457 40.4195067172747)
1278,5110,SAN CIPRIANO-MINERVA,40.403243026416,-3.5992039115757586,525,POINT (-3.59921275981909 40.4032784367377)
1281,3513,SAMANIEGO-CAMPEZO,40.444254610267635,-3.582237666831167,210,POINT (-3.5822430004935 40.4442838308029)
1285,par_8_07439,AV.MEDITERRÁNEO-SANTA EUGENIA,40.3819923400879,-3.6034369468689,329,POINT (-3.6034369468689 40.3819923400879)
1288,1040,AV.MEDITERRÁNEO-SANTA EUGENIA,40.38492326375327,-3.6055379375457766,317,POINT (-3.60516381263733 40.3853797912598)
1289,par_8_07433,AV.MEDITERRÁNEO-CONDE CASAL,40.40646558044875,-3.66775124192215,1479,POINT (-3.66785273790314 40.4063797998135)
1290,2612,AV.MEDITERRÁNEO-AV.DEMOCRACIA,40.391356905822775,-3.624179194602965,296,POINT (-3.62432551383972 40.3910179138184)
1292,3353,AV.MEDITERRÁNEO-AV.PABLO NERUDA,40.39502842376707,-3.6409975471496576,1559,POINT (-3.64083123207092 40.394603729248)
1294,5150,AV.MEDITERRÁNEO-UNIV.POLITÉCNICA MADRID,40.391268806762696,-3.62675773044586,295,POINT (-3.62709546089172 40.3911476135254)
1296,1992,AV.MEDITERRÁNEO-ARROYO FONTARRÓN,40.40035539916992,-3.648772526086171,1555,POINT (-3.64907050132751 40.4010429382324)
1298,2608,AV.MEDITERRÁNEO-PÍO FELIPE,40.39809579868862,-3.6462812055969223,1554,POINT (-3.64672994613647 40.3978118896484)
1303,4406,CTRA.M203-CAÑADA REAL DE MERINA,40.39385361047905,-3.54244231031714,18,POINT (-3.54239462063428 40.3938472209581)
1304,par_8_10457,CTRA.RIVAS JARAMA-LA JUNGLA,40.391468222490104,-3.573333949823065,20,POINT (-3.57310370497324 40.3914108055305)
1306,2309,RONDA ATOCHA-ESTACIÓN DE AUTOBUSES,40.406836060791,-3.69623946258545,1672,POINT (-3.6965389251709 40.407112121582)
1307,1433,PZA.CONDE DE CASAL-CONDE DE CASAL,40.40679511183518,-3.670165655194796,1481,POINT (-3.67065143585205 40.4064064025879)
1310,1124,PZA.LEGAZPI-LEGAZPI,40.391299846495684,-3.695024119800635,1452,POINT (-3.69558596611023 40.3910789489746)
