stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
007877,0,0,0,0,2,1,0,2,0,walk,5
007878,0,0,0,0,2,1,0,2,0,walk,5
007879,0,0,5,1,6,0,10,2,6,walk,5
007881,0,4,6,2,11,1,17,3,12,walk,5
007883,2,4,6,0,6,1,20,1,16,walk,5
007884,14,8,9,2,6,5,157,5,26,walk,5
007885,8,3,6,0,6,1,87,3,15,walk,5
007897,1,4,3,1,3,1,21,0,11,walk,5
007898,1,4,3,1,2,1,21,0,12,walk,5
007900,3,4,4,3,5,2,18,2,17,walk,5
007919,0,2,1,0,0,0,3,0,2,walk,5
007923,0,2,4,0,9,1,1,3,1,walk,5
007927,0,0,1,0,0,0,0,0,0,walk,5
007928,0,0,1,0,0,0,0,0,0,walk,5
007930,0,3,3,1,15,5,4,8,4,walk,5
007931,1,3,4,1,14,5,9,8,6,walk,5
007949,0,0,0,0,0,0,3,1,0,walk,5
007950,2,5,23,1,3,0,41,2,10,walk,5
007967,1,4,3,0,1,2,21,0,9,walk,5
007968,0,2,3,1,7,1,3,1,3,walk,5
007973,1,0,0,0,8,0,2,1,0,walk,5
007974,1,1,1,0,8,0,7,1,2,walk,5
007975,1,2,1,0,8,2,7,1,2,walk,5
007976,1,2,1,0,8,2,7,1,2,walk,5
007977,1,0,0,0,8,0,2,1,0,walk,5
007978,1,0,0,0,8,0,2,1,0,walk,5
007979,9,5,18,3,6,4,56,2,24,walk,5
007980,12,5,15,4,6,4,52,3,24,walk,5
007995,1,1,3,0,4,0,7,3,2,walk,5
008020,1,4,1,1,6,0,12,1,8,walk,5
008021,1,6,1,2,12,0,16,1,13,walk,5
008022,1,6,1,1,8,0,11,1,9,walk,5
008023,1,5,1,1,7,0,11,1,9,walk,5
008024,1,3,1,1,7,0,10,1,8,walk,5
008025,1,6,1,2,8,0,11,1,9,walk,5
008026,1,4,1,1,7,0,10,1,7,walk,5
008028,1,3,1,1,6,0,10,1,7,walk,5
008029,1,6,1,2,10,0,12,1,11,walk,5
008030,1,5,1,2,6,0,10,1,8,walk,5
008036,0,0,0,0,1,0,2,1,0,walk,5
008037,0,0,0,0,1,0,3,1,0,walk,5
008040,3,0,4,3,7,1,9,2,13,walk,5
008041,2,0,3,2,7,2,8,2,8,walk,5
008047,0,0,1,0,0,0,2,1,1,walk,5
008050,0,0,0,0,4,3,3,1,2,walk,5
008051,0,0,0,0,4,2,3,1,2,walk,5
008067,1,2,4,1,11,2,6,9,6,walk,5
008087,9,9,10,5,12,0,84,3,36,walk,5
008090,9,5,14,0,5,1,89,4,64,walk,5
008093,0,0,1,0,0,0,7,0,1,walk,5
008094,0,0,1,0,0,0,7,0,1,walk,5
008095,0,0,1,0,1,0,1,0,0,walk,5
008096,0,0,1,0,1,0,1,0,0,walk,5
008098,0,0,0,1,0,0,0,0,1,walk,5
008106,0,0,1,0,8,0,1,6,1,walk,5
008109,0,0,3,0,0,0,0,0,0,walk,5
008110,0,0,0,0,2,0,0,1,0,walk,5
008113,0,0,2,0,1,0,0,0,0,walk,5
008114,0,0,3,0,1,0,1,0,0,walk,5
008115,0,0,1,0,2,0,0,0,1,walk,5
008116,0,0,1,0,2,0,0,0,1,walk,5
008124,0,0,0,0,1,0,0,0,0,walk,5
008125,0,0,0,0,1,0,0,1,0,walk,5
008126,0,0,0,1,1,0,0,0,0,walk,5
008127,0,0,0,0,1,0,0,0,0,walk,5
008128,0,0,1,1,7,0,1,4,0,walk,5
008132,1,3,4,1,0,2,13,5,8,walk,5
008146,0,0,1,0,1,0,3,2,2,walk,5
008147,0,0,1,0,2,0,3,2,2,walk,5
008148,0,0,0,0,2,1,2,1,0,walk,5
008149,1,0,0,0,3,1,2,1,0,walk,5
008152,3,3,3,2,2,0,10,0,6,walk,5
008153,3,3,3,2,1,0,8,0,3,walk,5
008155,6,0,0,0,3,0,2,0,0,walk,5
008156,1,0,0,0,0,0,0,0,0,walk,5
008164,1,5,1,1,7,0,11,1,8,walk,5
008165,1,6,1,2,12,0,16,1,13,walk,5
008168,0,2,2,1,2,0,0,2,1,walk,5
008169,0,2,2,1,2,0,0,2,1,walk,5
008170,0,1,2,1,4,2,1,1,0,walk,5
008206,0,1,0,1,1,0,4,0,0,walk,5
008209,0,3,5,2,3,1,4,2,15,walk,5
