stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
007877,2,5,6,10,22,6,17,12,9,public_transport,
007878,2,6,11,14,31,8,26,24,15,public_transport,
007879,5,5,14,3,35,2,50,10,24,public_transport,
007881,22,16,29,8,74,20,119,17,101,public_transport,
007883,20,12,28,8,62,18,101,16,84,public_transport,
007884,223,133,301,63,223,83,1720,122,585,public_transport,
007885,168,73,141,35,121,48,1190,56,340,public_transport,
007897,15,27,65,21,102,23,146,51,160,public_transport,
007898,15,26,58,21,98,22,134,52,151,public_transport,
007900,43,35,58,29,99,15,231,37,160,public_transport,
007913,1,1,4,3,7,6,2,8,1,public_transport,
007914,0,0,1,0,4,0,2,3,0,public_transport,
007919,0,9,25,2,43,6,20,14,19,public_transport,
007923,5,5,17,2,41,8,21,18,11,public_transport,
007924,1,4,17,1,13,4,12,8,14,public_transport,
007927,0,2,9,0,14,5,7,11,1,public_transport,
007928,0,1,3,0,9,4,2,8,0,public_transport,
007930,9,15,19,5,63,8,45,29,35,public_transport,
007931,6,7,11,4,42,6,27,16,18,public_transport,
007949,3,3,8,0,13,3,30,5,16,public_transport,
007950,146,86,222,41,141,70,1063,94,291,public_transport,
007967,31,32,74,23,91,30,228,53,219,public_transport,
007968,1,6,16,4,34,6,16,10,23,public_transport,
007973,2,5,8,4,18,6,21,18,10,public_transport,
007974,3,5,8,5,19,6,21,18,12,public_transport,
007975,1,7,9,5,24,7,24,19,15,public_transport,
007976,1,4,4,2,13,5,17,11,8,public_transport,
007977,1,4,4,2,13,5,17,11,8,public_transport,
007978,1,4,4,2,13,5,17,11,8,public_transport,
007979,135,85,185,38,100,48,1075,67,337,public_transport,
007980,104,64,148,30,82,35,855,51,272,public_transport,
007995,9,12,22,3,44,10,42,26,30,public_transport,
008020,5,30,46,11,122,11,92,53,73,public_transport,
008021,5,30,46,11,122,11,92,53,73,public_transport,
008022,5,30,46,11,122,11,92,53,73,public_transport,
008023,5,30,46,11,122,11,95,53,73,public_transport,
008024,5,30,47,11,122,11,92,53,74,public_transport,
008025,5,30,46,11,122,11,93,53,73,public_transport,
008026,5,30,46,11,122,11,92,53,73,public_transport,
008028,5,30,46,11,122,11,92,53,73,public_transport,
008029,5,30,46,11,122,11,92,53,73,public_transport,
008030,5,31,51,11,134,11,94,56,76,public_transport,
008036,19,22,75,12,60,29,107,28,46,public_transport,
008037,13,12,44,4,43,15,50,20,19,public_transport,
008040,26,18,47,17,58,20,166,27,151,public_transport,
008041,26,18,47,19,67,20,171,29,154,public_transport,
008047,8,14,24,5,38,8,44,17,34,public_transport,
008050,3,11,20,7,35,5,35,17,40,public_transport,
008051,7,19,31,11,34,7,66,23,58,public_transport,
008067,4,12,26,4,65,7,44,51,18,public_transport,
008087,118,63,119,67,197,41,727,82,295,public_transport,
008090,79,54,129,30,163,47,586,65,286,public_transport,
008093,3,4,23,3,35,6,25,10,10,public_transport,
008094,5,5,15,2,35,7,17,16,9,public_transport,
008095,3,8,28,3,37,6,23,9,12,public_transport,
008096,5,9,25,3,42,9,22,16,15,public_transport,
008098,5,6,17,5,32,8,26,20,32,public_transport,
008106,9,14,18,5,57,8,40,27,30,public_transport,
008109,1,4,12,3,16,4,5,8,2,public_transport,
008110,1,5,13,3,18,4,8,9,5,public_transport,
008111,4,3,8,2,16,2,6,4,1,public_transport,
008112,4,6,10,3,17,2,5,6,3,public_transport,
008113,4,5,8,3,15,2,5,6,3,public_transport,
008114,3,5,12,4,17,4,6,7,3,public_transport,
008115,2,2,11,2,8,1,5,9,14,public_transport,
008116,1,2,7,2,7,1,4,9,11,public_transport,
008119,2,6,14,2,23,5,23,12,12,public_transport,
008124,3,3,9,4,9,1,11,11,17,public_transport,
008125,2,2,9,2,7,1,4,9,12,public_transport,
008126,3,2,10,4,17,5,9,13,17,public_transport,
008127,2,2,7,2,7,1,4,7,12,public_transport,
008128,5,12,21,7,55,11,42,27,24,public_transport,
008132,48,52,120,26,89,29,353,60,121,public_transport,
008146,20,21,42,12,75,8,71,31,22,public_transport,
008147,15,19,42,8,42,9,69,16,33,public_transport,
008148,27,27,65,13,82,19,102,33,42,public_transport,
008149,21,20,57,12,53,18,81,24,38,public_transport,
008152,22,25,50,16,56,7,207,24,72,public_transport,
008153,18,17,30,8,44,7,100,17,33,public_transport,
008155,30,26,68,22,83,16,242,32,156,public_transport,
008156,1,5,26,4,34,6,25,11,6,public_transport,
008164,5,30,46,11,122,11,93,53,73,public_transport,
008165,5,30,46,11,122,11,92,53,73,public_transport,
008168,3,7,17,3,25,5,25,14,13,public_transport,
008169,5,9,19,2,30,4,26,17,15,public_transport,
008170,6,8,13,3,23,3,24,10,12,public_transport,
008206,33,31,59,22,62,26,179,48,93,public_transport,
008209,3,22,40,14,59,10,72,37,69,public_transport,
008218,146,70,145,31,130,48,1191,61,321,public_transport,
008222,7,33,55,11,127,12,95,54,83,public_transport,
008238,94,38,77,26,114,25,647,48,192,public_transport,
008239,27,27,51,14,55,9,233,18,75,public_transport,
008240,43,40,75,20,79,19,417,27,150,public_transport,
008241,14,18,36,14,47,12,78,27,62,public_transport,
008242,25,29,51,20,69,20,135,47,83,public_transport,
008243,0,7,18,4,28,6,16,8,21,public_transport,
008245,3,14,31,7,43,13,36,19,56,public_transport,
008246,1,13,38,8,54,15,30,17,34,public_transport,
008260,3,8,17,17,41,7,37,33,18,public_transport,
008261,4,7,17,9,31,5,38,27,18,public_transport,
008262,15,20,45,8,42,12,70,16,33,public_transport,
008265,26,23,48,16,63,7,157,27,55,public_transport,
008269,9,9,46,5,35,16,52,25,15,public_transport,
008270,3,4,25,2,23,10,19,11,7,public_transport,
008272,23,20,46,15,60,6,152,24,53,public_transport,
008280,14,13,46,9,47,13,162,21,122,public_transport,
008283,0,7,17,7,32,4,16,7,4,public_transport,
008284,0,3,20,5,38,3,13,9,5,public_transport,
008286,24,28,59,14,93,13,101,38,34,public_transport,
008287,45,42,81,18,110,16,298,50,95,public_transport,
008289,0,20,39,9,104,11,40,30,29,public_transport,
008336,6,4,7,1,12,3,22,8,14,public_transport,
008337,2,3,4,0,5,2,16,3,12,public_transport,
008341,2,13,37,11,80,7,33,20,34,public_transport,
008344,25,31,51,22,61,15,156,32,129,public_transport,
008353,2,10,33,8,83,7,30,15,29,public_transport,
008379,10,8,27,3,44,12,34,15,23,public_transport,
008380,10,9,29,3,51,12,32,18,24,public_transport,
008382,5,37,53,11,126,11,104,54,95,public_transport,
008383,7,34,59,12,129,14,98,55,86,public_transport,
008399,1,4,18,1,19,4,13,9,14,public_transport,
008402,2,16,31,1,57,8,31,15,17,public_transport,
008403,5,15,25,1,50,7,44,15,20,public_transport,
008404,6,20,36,1,69,11,59,22,29,public_transport,
008405,6,19,36,1,69,10,60,16,30,public_transport,
008406,6,17,30,1,60,10,56,19,23,public_transport,
008407,3,11,22,1,42,5,35,9,14,public_transport,
008408,2,11,21,1,40,5,32,8,14,public_transport,
008409,5,7,13,0,31,8,47,11,20,public_transport,
008410,2,4,14,1,19,4,21,7,6,public_transport,
008411,4,6,14,0,36,5,44,9,17,public_transport,
008412,22,16,35,8,90,21,128,23,110,public_transport,
