stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
007877,7.154,7.122,8.781
007878,7.15,7.118,8.78
007879,9.057,9.039,8.701
007881,6.495,6.47,6.97
007883,6.725,6.7,7.175
007884,1.025,0.998,2.562
007885,1.291,1.26,2.979
007897,4.036,4.028,6.043
007898,4.027,4.019,6.035
007900,3.379,3.348,5.105
007913,11.311,11.34,9.388
007914,11.321,11.35,9.398
007919,9.325,9.33,7.567
007923,10.589,10.62,9.528
007924,13.38,13.411,12.74
007927,13.379,13.411,11.902
007928,13.46,13.491,11.989
007930,6.849,6.857,8.25
007931,6.836,6.844,8.23
007949,10.135,10.109,10.481
007950,2.03,2.04,0.796
007967,4.01,4.001,6.04
007968,10.312,10.31,8.87
007973,9.442,9.41,10.76
007974,9.41,9.379,10.731
007975,9.484,9.452,10.798
007976,9.502,9.47,10.818
007977,9.469,9.438,10.789
007978,9.442,9.41,10.764
007979,2.034,2.022,2.165
007980,2.034,2.023,2.148
007995,9.289,9.296,10.73
008020,5.744,5.766,3.615
008021,5.764,5.786,3.63
008022,5.761,5.783,3.629
008023,5.745,5.767,3.613
008024,5.742,5.765,3.612
008025,5.737,5.759,3.604
008026,5.734,5.756,3.603
008028,5.717,5.74,3.587
008029,5.73,5.752,3.595
008030,5.713,5.735,3.579
008036,3.193,3.221,1.445
008037,3.153,3.181,1.414
008040,1.998,1.987,4.083
008041,1.982,1.97,4.071
008047,8.657,8.688,7.395
008050,4.158,4.133,6.265
008051,4.156,4.131,6.263
008067,6.539,6.558,7.307
008087,3.581,3.549,5.137
008090,1.68,1.678,3.641
008093,10.259,10.29,9.4
008094,10.254,10.285,9.413
008095,10.113,10.144,9.33
008096,10.144,10.175,9.356
008098,6.936,6.936,8.684
008106,6.445,6.453,7.894
008109,11.045,11.046,12.695
008110,11.334,11.336,12.965
008111,11.728,11.727,13.486
008112,11.423,11.422,13.19
008113,11.131,11.131,12.861
008114,10.881,10.882,12.546
008115,7.427,7.429,9.085
008116,7.413,7.416,9.062
008119,11.053,11.056,12.635
008124,7.505,7.506,9.2
008125,7.477,7.478,9.182
008126,7.347,7.348,9.077
008127,7.35,7.351,9.081
008128,6.263,6.27,7.713
008132,3.687,3.706,1.552
008146,3.23,3.261,1.885
008147,3.251,3.281,1.869
008148,3.423,3.451,1.73
008149,3.449,3.478,1.724
008152,2.748,2.777,2.893
008153,2.771,2.8,2.872
008155,2.44,2.465,3.205
008156,8.943,8.973,7.152
008164,5.776,5.798,3.644
008165,5.779,5.801,3.646
008168,10.8,10.804,12.347
008169,10.786,10.79,12.325
008170,12.569,12.571,14.213
008206,3.974,3.975,2.66
008209,4.765,4.77,3.155
008218,1.551,1.52,3.191
008222,5.829,5.851,3.689
008238,1.689,1.659,3.242
008239,2.198,2.224,2.946
008240,2.183,2.21,2.922
008241,4.873,4.873,3.517
008242,4.515,4.515,3.188
008243,10.874,10.874,9.333
008245,6.609,6.612,5.006
008246,8.848,8.852,7.148
008260,6.582,6.551,7.896
008261,6.565,6.533,7.879
008262,3.539,3.565,1.585
008265,2.459,2.484,3.184
008269,2.632,2.662,1.304
008270,2.652,2.682,1.334
008272,2.817,2.843,3.355
008280,2.252,2.271,3.45
008283,11.546,11.537,10.553
008284,11.612,11.603,10.602
008286,3.168,3.2,2.257
008287,3.142,3.174,2.243
008289,9.787,9.782,8.561
008336,10.318,10.325,11.751
008337,10.327,10.333,11.765
008341,7.805,7.81,6.07
008344,3.327,3.297,5.297
008353,7.178,7.182,5.5
008379,4.954,4.982,3.147
008380,5.032,5.061,3.239
008382,5.823,5.845,3.687
008383,5.814,5.836,3.677
008399,13.338,13.369,12.517
008402,11.374,11.355,11.141
008403,11.402,11.382,11.168
008404,10.71,10.69,10.554
008405,10.708,10.688,10.556
008406,10.356,10.334,10.29
008407,10.381,10.36,10.309
008408,10.06,10.038,10.098
008409,10.064,10.042,10.104
008410,9.548,9.525,9.657
008411,9.543,9.52,9.655
008412,7.013,6.988,7.428
008426,10.561,10.556,9.326
008440,5.731,5.758,5.783
008455,2.806,2.781,3.653
008458,4.607,4.616,2.795
008459,4.616,4.622,2.935
008460,4.586,4.592,2.908
008461,4.645,4.65,3.061
008481,9.587,9.613,9.642
008490,5.571,5.603,4.422
008491,9.857,9.885,7.885
008498,4.119,4.15,3.658
008499,4.134,4.166,3.334
008500,4.107,4.139,3.141
008501,1.714,1.743,2.332
008519,5.07,5.046,5.431
008521,5.55,5.528,5.729
008535,13.252,13.278,11.182
008544,4.555,4.53,5.145
008545,3.594,3.614,1.453
008546,1.164,1.19,2.362
008559,3.765,3.74,5.885
008560,3.739,3.715,5.861
008567,5.516,5.497,7.659
008569,13.229,13.255,11.159
008575,5.331,5.363,4.432
008577,13.985,14.014,12.13
008587,5.204,5.235,4.631
008588,5.184,5.215,4.632
008589,4.069,4.101,3.441
008590,0.954,0.947,3.021
008591,0.908,0.901,2.977
008593,1.79,1.787,3.767
008605,4.639,4.612,5.311
008644,12.459,12.447,11.585
008645,12.551,12.539,11.671
008692,9.323,9.354,7.786
008694,0.48,0.512,1.895
008697,8.205,8.196,7.267
008702,1.716,1.746,2.258
008708,12.255,12.243,11.392
008725,3.431,3.45,1.291
008731,5.599,5.567,7.168
008736,5.681,5.649,7.348
008737,5.698,5.666,7.366
008750,2.487,2.456,3.917
008754,13.346,13.377,12.54
008782,0.981,0.982,1.513
008785,3.462,3.481,1.322
008788,6.797,6.791,8.744
008789,6.78,6.774,8.723
008792,7.387,7.357,9.317
008793,7.362,7.366,8.961
008832,10.312,10.343,8.999
008841,12.005,11.996,10.928
008842,11.95,11.942,10.889
008844,5.872,5.885,3.865
008850,9.643,9.675,8.24
008863,7.491,7.522,5.857
008893,6.329,6.354,6.567
008894,6.547,6.571,6.825
008895,6.68,6.705,6.944
008896,6.747,6.773,6.91
008898,6.175,6.203,6.133
008903,8.9,8.91,6.969
008904,13.547,13.579,12.374
008910,12.906,12.9,11.703
008911,12.683,12.676,11.52
008918,7.929,7.928,9.701
008921,10.227,10.258,9.378
008922,9.949,9.952,11.548
008923,7.453,7.478,5.382
008924,7.448,7.474,5.379
008939,12.129,12.111,11.751
008943,7.811,7.81,9.585
008946,9.955,9.972,7.834
008947,10.633,10.65,8.516
008948,17.715,17.744,15.802
008949,13.409,13.44,12.597
008950,13.289,13.32,12.475
008952,10.136,10.139,11.742
008953,9.901,9.928,9.841
008954,9.867,9.894,9.804
008955,9.491,9.518,9.409
008956,9.452,9.479,9.363
008957,8.917,8.944,8.802
008958,9.09,9.117,9.007
008959,9.766,9.792,9.793
008960,11.308,11.334,11.383
008963,11.806,11.832,11.874
008967,9.6,9.629,9.279
