stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
007877,3.816,0.8734,23,2.494,7.154,8.781,3,6,11,13,29,8,24,22,14,130,2,2,3,2,11,3,2,12,2,39,2.081,1.735,Bíróság,47.519544,18.97806,2120,3.2314658460656614e-07,0.0009837678307919,0.0540533354603706,0.0068660410316393,0.139,0.151,0.852,0.78,0.123854,0.13317,0.278032,0.360259
007879,2.135,0.4497,11,1.403,9.057,8.701,4,4,14,3,31,2,39,7,22,126,3,2,10,2,13,1,46,4,15,96,2.298,-0.1630000000000002,"Római úti lakótelep, Varsa utca",47.570863,19.058543,1752,6.2607131788810625e-09,0.0004918839153959,0.0497650053852932,0.0,0.1582,0.17,0.709,0.639,0.128583,0.13398,0.276003,0.344026
007881,5.351,0.6902,31,2.42,6.495,6.97,23,20,31,21,91,22,141,20,108,477,11,9,23,4,52,11,64,14,50,238,3.188,2.163,Váradi utca,47.543722,19.030125,1947,1.9852159987255306e-06,0.0019675356615838,0.0613217506711308,0.0012713912741004,0.1481,0.1493,0.615,0.658,0.153945,0.1756,0.379244,0.371556
007883,5.142,0.5772,30,2.433,6.725,7.175,19,15,29,8,76,19,117,21,97,401,11,9,17,3,44,9,53,13,36,195,3.224,1.918,Perényi út,47.5458,19.029579,1973,1.029145234346044e-06,0.0009837678307919,0.0579020819686138,0.0,0.1457,0.1493,0.615,0.658,0.149009,0.164973,0.358126,0.354507
007884,19.754,0.4033,114,20.634,1.025,2.562,285,173,412,96,373,113,2066,179,806,4503,107,42,82,17,43,31,938,32,211,1503,3.213,16.541,Deák Ferenc tér M,47.497413,19.055158,366,0.002881170524049,0.0044269552385636,0.0972960038286671,0.2526679187957686,0.1748,0.1914,0.952,0.813,0.26154,0.2443,0.449846,0.474775
007885,9.497,0.306,44,5.898,1.291,2.979,206,109,223,51,188,62,1509,87,472,2907,75,23,47,10,41,23,653,22,153,1047,2.384,7.113,Dorottya utca (Vörösmarty tér M),47.497476,19.049623,369,0.0006732052278956,0.0014756517461878,0.0900274554955274,0.0015807653771373,0.1699,0.192,1.038,0.814,0.264149,0.250705,0.444352,0.460155
007897,15.858,0.3827,91,13.254,4.036,6.043,35,39,100,32,146,32,294,67,283,1028,5,13,22,5,32,9,66,18,37,207,3.103,12.755,Kelenföld vasútállomás M,47.464572,19.022964,1413,0.0001472116012855,0.0044269552385636,0.0722947263610824,0.0676980425782687,0.1386,0.1515,0.656,0.694,0.133432,0.136003,0.456879,0.414838
007900,6.208,0.2872,40,3.013,3.379,5.105,52,38,63,36,116,22,282,45,168,822,36,19,40,20,56,9,174,24,106,484,3.228,2.98,Maros utcai rendelőintézet,47.503724,19.022401,1260,0.0001389269565136,0.0009837678307919,0.0738118578223142,0.0001862540294773,0.131,0.154,0.75,0.787,0.220012,0.210819,0.451596,0.446455
007913,3.505,0.8974,18,2.766,11.311,9.388,0,1,4,3,6,5,6,8,1,34,0,0,2,2,2,2,2,2,0,12,2.853,0.6519999999999997,526. sor,47.479281,19.211332,77,2.246617340184041e-07,0.0014756517461878,0.047835294117647,0.0019704839065554,0.1407,0.1569,0.348,0.392,0.105623,0.127436,0.125209,0.188412
007919,2.83,0.675,13,0.602,9.325,7.567,0,10,26,3,43,6,19,14,19,140,1,4,12,0,32,0,11,4,11,75,2.047,0.7829999999999999,Pólus Center,47.552544,19.143552,815,5.195913940675147e-06,0.0009837678307919,0.0584783546670501,0.0037434814352,0.0986,0.1512,0.425,0.448,0.147978,0.132267,0.437469,0.409455
007923,6.101,0.4723,33,4.468,10.589,9.528,5,5,16,2,41,9,21,18,11,128,2,4,11,1,24,4,11,10,4,71,3.355,2.746,Kele utca,47.431808,19.173804,872,2.202697033980114e-05,0.0014756517461878,0.0666666666666666,0.0006031097001228,0.1645,0.1532,0.381,0.388,0.111938,0.118968,0.360942,0.334248
007924,6.439,0.6437,29,8.1,13.38,12.74,4,4,22,1,13,5,12,8,14,83,1,0,7,0,0,0,5,2,5,20,1.621,4.818,Ültetvény utca,47.396895,19.175423,922,1.9319020121020328e-05,0.0009837678307919,0.0652125100240577,0.0038897287848634,0.1762,0.1836,0.371,0.375,0.129915,0.132413,0.183145,0.214086
007927,3.803,0.7693,17,3.87,13.379,11.902,0,2,9,0,14,5,7,10,1,48,1,0,2,0,2,1,4,1,0,11,1.827,1.976,Ferihegy vasútállomás,47.438423,19.222716,981,2.7475716193693063e-05,0.0009837678307919,0.060663026288306,0.0029483986661037,0.237,0.2043,0.433,0.4,0.14408,0.136258,0.287241,0.314073
007930,7.347,0.2891,38,3.74,6.849,8.25,9,16,22,7,66,9,44,29,37,239,1,10,9,2,27,5,24,14,22,114,2.687,4.66,Savoyai Jenő tér (Törley tér),47.430333,19.036354,1506,2.3539472217099383e-08,0.0009837678307919,0.0545376505620087,0.0004428735013976,0.1624,0.1997,0.461,0.551,0.122502,0.126305,0.328994,0.31915
007949,2.354,0.6804,13,0.743,10.135,10.481,3,2,7,0,13,3,29,5,16,78,0,0,1,0,1,1,3,1,0,7,2.497,-0.1429999999999998,Kocsis Sándor út,47.574343,19.013009,1683,1.0870058105353808e-10,0.0014756517461878,0.0420275773675397,0.0019670515238718,0.1906,0.1227,0.658,0.749,0.095786,0.123054,0.080016,0.250789
007950,18.573,0.5264,103,14.329,2.03,0.796,221,132,327,62,260,107,1536,154,543,3342,19,28,83,11,34,24,162,36,81,478,3.418,15.155,Keleti pályaudvar M,47.501104,19.082712,494,0.0246691455078393,0.0054107230693556,0.0929583904892546,0.2946823744991729,0.1597,0.156,0.623,0.601,0.237783,0.236145,0.491875,0.478124
007968,4.206,0.4404,27,1.778,10.312,8.87,1,6,15,4,34,5,16,10,23,114,0,4,9,3,24,6,12,8,16,82,3.096,1.1100000000000003,Mogyoród útja,47.570602,19.128267,1808,6.718927147493362e-08,0.0014756517461878,0.0504366378882603,0.0,0.2172,0.166,0.437,0.419,0.139311,0.124422,0.269106,0.302538
007973,2.686,0.8281,16,0.886,9.442,10.76,3,5,8,7,26,6,20,19,14,108,1,4,2,0,13,4,10,4,7,45,2.48,0.2059999999999999,Hűvösvölgy,47.542892,18.964574,2085,6.038759540110586e-10,0.0014756517461878,0.0450157211815242,0.0290959502848666,0.2138,0.1875,0.571,0.807,0.139329,0.134261,0.159727,0.289399
007979,10.707,0.2708,61,5.246,2.034,2.165,172,101,243,47,156,56,1367,92,444,2678,74,35,82,17,39,22,455,39,154,917,3.301,7.406000000000001,Vörösmarty utca M,47.507468,19.066509,416,0.0003586160463154,0.0024594195769798,0.0831050974941748,0.0040467927294086,0.1601,0.1924,0.771,0.809,0.256052,0.251419,0.445884,0.46015
007995,9.15,0.6214,51,5.879,9.289,10.73,13,17,33,7,71,13,52,34,33,273,2,4,6,1,12,3,17,10,16,71,2.701,6.449,Jókai Mór utca,47.410717,19.020681,1642,2.8748077074211547e-10,0.0024594195769798,0.0482508188161579,0.0145272583630512,0.2119,0.1768,0.489,0.45,0.138815,0.142689,0.268779,0.2885
008020,21.308,0.4959,115,20.552,5.744,3.615,17,67,137,17,186,24,268,87,175,978,1,8,8,4,51,2,21,16,22,133,2.538,18.77,Örs vezér tere M+H,47.500932,19.136306,726,0.5442157530461749,0.0088539104771273,0.0836246966393813,0.2277085449037489,0.145,0.1398,0.537,0.516,0.168659,0.148312,0.478946,0.439493
008036,6.862,0.6702,33,3.786,3.193,1.445,35,38,112,18,78,32,169,44,70,596,7,4,13,0,15,3,18,9,2,71,2.385,4.477,Kőbányai út 31.,47.487461,19.104252,610,0.0016552909751423,0.0019675356615838,0.0794233699261632,0.0002008877433586,0.1853,0.159,0.584,0.564,0.228695,0.21535,0.463478,0.489574
