stop_id,multimodal_gini
007877,0.1328
007878,0.1376
007879,0.1647
007881,0.1508
007883,0.1538
007884,0.192
007885,0.186
007897,0.1323
007898,0.1449
007900,0.1364
007913,0.1457
007914,0.0954
007919,0.1205
007923,0.1438
007924,0.1702
007927,0.2106
007928,0.2566
007930,0.1612
007931,0.1644
007949,0.1596
007950,0.1666
007967,0.1373
007968,0.1757
007973,0.1865
007974,0.1761
007975,0.1825
007976,0.2113
007977,0.2113
007978,0.2113
007979,0.1713
007980,0.1646
007995,0.1628
008020,0.1284
008021,0.1284
008022,0.1284
008023,0.1284
008024,0.1284
008025,0.1284
008026,0.1284
008028,0.1284
008029,0.1284
008030,0.1337
008036,0.1525
008037,0.1637
008040,0.1165
008041,0.1401
008047,0.1292
008050,0.1452
008051,0.1572
008067,0.1237
008087,0.154
008090,0.1461
008093,0.1715
008094,0.1722
008095,0.1712
008096,0.179
008098,0.1933
008106,0.1574
008109,0.1765
008110,0.1617
008111,0.1714
008112,0.1807
008113,0.183
008114,0.1854
008115,0.1891
008116,0.1538
008119,0.1628
008124,0.1823
008125,0.1886
008126,0.1783
008127,0.1896
008128,0.1831
008132,0.1859
008146,0.1629
008147,0.1909
008148,0.175
008149,0.1712
008152,0.1381
008153,0.1373
008155,0.142
008156,0.1457
008164,0.1284
008165,0.1284
008168,0.168
008169,0.1684
008170,0.1742
008206,0.178
008209,0.1384
008218,0.1779
008222,0.1297
008238,0.2148
008239,0.198
008240,0.1731
008241,0.1559
008242,0.1776
008243,0.159
008245,0.1971
008246,0.1812
008260,0.1743
008261,0.1613
008262,0.183
008265,0.1512
008269,0.1604
008270,0.1678
008272,0.1667
008280,0.0969
008283,0.1476
008284,0.1549
008286,0.1532
008287,0.1471
008289,0.1637
008336,0.2004
008337,0.1549
008341,0.1986
008344,0.1542
008353,0.1579
008379,0.1497
008380,0.1481
008382,0.1292
008383,0.1308
008399,0.1794
008402,0.2036
008403,0.1817
008404,0.189
008405,0.1811
008406,0.1809
008407,0.1571
008408,0.1548
008409,0.1654
008410,0.1515
008411,0.1706
008412,0.1513
008426,0.1524
008440,0.1637
008455,0.1852
008458,0.1407
008459,0.145
008460,0.1359
008461,0.1454
008481,0.1954
008490,0.155
008491,0.1587
008498,0.124
008499,0.1653
008500,0.1254
008501,0.1315
008519,0.1503
008521,0.1503
008535,0.1935
008544,0.1495
008545,0.1751
008546,0.1986
008559,0.154
008560,0.1892
008567,0.2033
008569,0.186
008575,0.1677
008577,0.1622
008587,0.1864
008588,0.1874
008589,0.1626
008590,0.2048
008591,0.2085
008593,0.1419
008605,0.1494
008644,0.1593
008645,0.1526
008692,0.1754
008694,0.1693
008697,0.1343
008702,0.1278
008708,0.1284
008725,0.1861
008731,0.1434
008736,0.1349
008737,0.137
008750,0.1916
008754,0.1818
008782,0.1806
008785,0.1861
008788,0.2163
008789,0.183
008792,0.3282
008793,0.148
008832,0.1591
008841,0.1614
008842,0.1466
008844,0.1402
008850,0.1484
008863,0.142
008893,0.169
008894,0.1822
008895,0.1838
008896,0.1844
008898,0.175
008903,0.1286
008904,0.1695
008910,0.1236
008911,0.1559
008918,0.1863
008921,0.1745
008922,0.168
008923,0.1199
008924,0.1209
008939,0.201
008943,0.1893
008946,0.1795
008947,0.1879
008948,0.1742
008949,0.1722
008950,0.1789
008952,0.1669
008953,0.1994
008954,0.1978
008955,0.1998
008956,0.2021
008957,0.1974
008958,0.1976
008959,0.1991
008960,0.2048
008963,0.2047
008967,0.1611
008971,0.172
009025,0.1661
009026,0.1698
009039,0.1507
009041,0.2147
009042,0.1775
009047,0.1649
009072,0.117
009137,0.1522
009138,0.094
009139,0.1581
009140,0.149
009146,0.1266
009147,0.1811
009148,0.1577
009153,0.1409
009154,0.1313
009155,0.144
009161,0.1702
009162,0.1699
009163,0.1699
009174,0.1535
009179,0.1196
009208,0.1626
009220,0.1473
009225,0.1351
009230,0.1875
009234,0.1789
009243,0.1999
009289,0.1391
009290,0.1579
009295,0.1506
009309,0.1845
009311,0.1653
009312,0.1653
009314,0.1881
009315,0.2052
009318,0.1306
009321,0.1712
009322,0.1285
009337,0.1959
009338,0.2047
009339,0.2034
009349,0.1317
009351,0.1193
009352,0.1296
009353,0.1318
009354,0.1296
009355,0.1296
009356,0.1223
009358,0.1959
009359,0.2014
009365,0.2174
009373,0.1718
009375,0.181
009377,0.1598
009379,0.1496
009381,0.1639
009382,0.1689
009383,0.1721
009392,0.1929
009393,0.1777
009394,0.1785
009413,0.1359
009415,0.1486
009420,0.1403
009421,0.1672
009422,0.1671
009429,0.1223
009430,0.1445
009431,0.1371
009445,0.1933
009446,0.173
009447,0.173
009448,0.1678
009449,0.1774
009451,0.1657
009452,0.1641
009453,0.1505
009454,0.1586
009455,0.159
009456,0.1738
009457,0.1537
009458,0.1703
009459,0.1572
009460,0.1688
009461,0.1689
009462,0.1628
009463,0.1863
009465,0.1681
009466,0.1569
009467,0.2006
009468,0.164
009469,0.194
009470,0.1672
009471,0.1609
009472,0.1484
009473,0.1561
009474,0.1494
009475,0.1901
009480,0.1708
009481,0.1353
009482,0.1821
009483,0.1664
009484,0.1519
009485,0.1923
009486,0.1805
009487,0.1816
009491,0.1504
009492,0.1668
009493,0.151
009494,0.1502
009495,0.1596
009498,0.1011
009499,0.1241
009500,0.1632
009501,0.0869
009503,0.1701
009504,0.1717
009508,0.1441
009509,0.1473
009510,0.1473
009511,0.1413
009512,0.1491
009513,0.148
009514,0.1403
009515,0.1544
009516,0.164
009520,0.1485
009521,0.1587
009522,0.1579
009524,0.1679
009534,0.17
009536,0.1612
009537,0.2099
009538,0.1857
009539,0.1993
009540,0.1451
009541,0.1847
009543,0.1658
009544,0.1792
009546,0.1778
009548,0.1896
009549,0.1516
009550,0.1525
009551,0.1765
009554,0.1665
009555,0.1553
009557,0.1647
009558,0.1263
009563,0.1634
009564,0.1578
009566,
009568,0.1641
009569,0.1591
009570,0.1317
009572,0.1267
009573,0.1526
009574,0.1284
009575,0.1318
009576,0.1336
009577,0.1522
009578,0.1546
009581,0.1474
009582,0.175
009584,0.1865
009587,0.1395
009588,0.1421
009592,0.1453
009625,0.1691
009631,0.1412
009652,0.1958
009659,0.1831
009667,0.1297
009675,0.1735
009676,0.1764
009684,0.1881
009685,0.1932
009691,0.1507
009692,0.1519
009693,0.1494
009698,0.1453
009699,0.1375
009704,0.1492
009705,0.1534
009706,0.1828
009707,0.1616
009708,0.1675
009715,0.1864
009716,0.1859
009717,0.1712
009718,0.1708
009719,0.1702
009728,0.1443
009729,0.1663
009730,0.1542
009743,0.1522
011313,0.1687
011320,0.1957
011321,0.1611
011322,0.1607
011495,0.1454
011715,0.156
011723,0.183
011725,0.1602
011726,0.165
011762,0.1377
011773,0.1581
016532,0.1476
016725,0.1375
016727,0.1303
019313,0.1633
019314,0.1622
019316,0.1777
022005,0.1783
036678,0.1533
038671,0.1427
038673,0.1445
038674,0.1446
038675,0.1448
038678,0.1459
038680,0.1433
038682,0.1443
038683,0.1451
038686,0.142
038687,0.1447
038692,0.1451
038717,0.1867
038791,0.148
040525,0.1956
040526,0.1363
040608,0.0939
040609,0.1267
040612,0.139
040761,0.1611
040762,0.1597
040763,0.1608
040789,0.1293
041071,0.1688
041092,0.116
041093,0.1164
041094,0.1224
041095,0.1285
041209,0.2009
042933,0.1487
042934,0.1653
043192,0.162
043193,0.2
043331,0.1502
043341,0.1563
043342,0.1681
043343,0.1394
043548,0.2163
043554,0.1982
043555,0.1994
043556,0.1983
043571,0.1656
044076,0.115
044127,0.1661
044135,0.1567
044388,0.1026
044557,0.1346
044637,0.1377
044638,0.1237
045755,0.1732
047671,0.1395
048471,0.1471
048505,0.1841
048506,0.1807
048519,0.1876
049170,0.2038
049171,0.2036
049172,0.2012
049174,0.0
049177,0.1443
049178,0.1426
049180,0.1482
049182,0.1784
049183,0.1604
049185,0.1735
049892,0.1244
049893,0.1226
049894,0.1226
049895,0.1244
049896,0.1153
049897,0.1114
049898,0.1095
049900,0.1397
049903,0.1498
050184,0.1606
050279,0.1952
056123,0.1366
056124,0.1366
056161,0.1798
056162,0.1544
056163,0.1594
056165,0.1374
056166,0.1546
056168,0.1374
056169,0.154
056170,0.1374
056172,0.1374
056173,0.1374
056174,0.143
056187,0.1422
056188,0.143
056189,0.1723
061136,0.1768
061188,0.143
061222,0.1432
061223,0.1996
061224,0.1817
061225,0.1507
061226,0.1427
061227,0.1812
061231,0.1418
061232,0.1419
061233,0.1888
061234,0.1696
061236,0.1697
061237,0.1726
061238,0.1651
061271,0.153
061272,0.1546
061273,0.1524
061274,0.1418
061275,0.1423
061277,0.156
061278,0.1562
061280,0.14
061286,0.1813
061350,0.1699
061351,0.1696
061368,0.1636
062511,0.1487
062512,0.1515
062513,0.1626
062514,0.1689
062515,0.1926
062516,0.1669
062517,0.155
062518,0.2069
062519,0.1813
062521,0.2052
062522,0.1874
062607,0.09
062608,0.0915
062620,0.0909
062621,0.1016
062622,0.0909
062726,0.1649
062756,0.148
062757,0.1431
062759,0.2054
062815,0.1665
062861,0.149
062942,0.1542
063399,0.2006
064208,0.0848
064209,0.113
064210,0.1119
064212,0.0848
064214,0.1143
064215,0.1119
064377,0.1374
066434,0.1523
066451,0.111
066452,0.1455
066453,0.1064
066454,0.1281
066455,0.1155
066456,0.1141
066457,0.1171
066458,0.1044
066459,0.1227
066460,0.1146
066679,0.2006
066680,0.1857
066681,0.203
066682,0.1921
066683,0.203
066684,0.2
066685,0.203
066686,0.2006
066687,0.203
066688,0.203
066697,0.1985
066698,0.2038
066699,0.2056
066700,0.2038
066711,0.1972
066712,0.1834
066713,0.1862
066714,0.1627
066715,0.1857
066716,0.1624
066717,0.1971
066718,0.167
066719,0.1866
066720,0.1624
066722,0.1627
066828,0.1405
066856,0.153
066969,0.1985
067592,0.1901
069089,0.159
069090,0.159
069091,0.1528
069092,0.1628
069093,0.1647
069403,0.1745
071262,0.1046
071659,0.1531
072851,0.1308
072934,0.1959
072935,0.2008
073152,0.1295
075220,0.1766
075654,0.1551
075655,0.1715
075744,0.1414
076394,0.1464
076395,0.1661
076396,0.15
076397,0.1593
076398,0.1575
076399,0.1464
078004,0.1521
078064,0.1473
081565,0.154
081950,0.1585
081954,0.1676
082200,0.1464
082617,0.1843
082623,0.1729
083329,0.1921
083330,0.1736
083331,0.1699
083777,0.1586
085772,0.1712
086855,0.1688
086856,0.1689
086857,0.1468
086858,0.146
086859,0.1474
086866,0.1691
086874,0.1435
086875,0.1451
086876,0.1455
086880,0.146
086885,0.1686
087373,0.1021
090482,0.1573
090915,0.1401
091120,0.1014
091338,0.1611
091816,0.1323
091817,0.1262
091821,0.1278
096830,0.1795
099342,0.1792
099343,0.18
099344,0.1793
099629,0.126
099630,0.128
099631,0.1347
099632,0.1312
099634,0.1328
100836,0.1374
100837,0.1374
100838,0.1374
102283,
102568,0.1733
102569,0.18
102602,0.1675
102797,0.1251
