stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
007877,0.123854,0.133170,0.278032,0.360259
007878,0.124168,0.139979,0.274220,0.373276
007879,0.128583,0.133980,0.276003,0.344026
007881,0.153945,0.175600,0.379244,0.371556
007883,0.149009,0.164973,0.358126,0.354507
007884,0.261540,0.244300,0.449846,0.474775
007885,0.264149,0.250705,0.444352,0.460155
007897,0.133432,0.136003,0.456879,0.414838
007898,0.133445,0.136706,0.456605,0.413148
007900,0.220012,0.210819,0.451596,0.446455
007913,0.105623,0.127436,0.125209,0.188412
007914,0.105729,0.118962,0.124172,0.197920
007919,0.147978,0.132267,0.437469,0.409455
007923,0.111938,0.118968,0.360942,0.334248
007924,0.129915,0.132413,0.183145,0.214086
007927,0.144080,0.136258,0.287241,0.314073
007928,0.137613,0.136928,0.287643,0.324670
007930,0.122502,0.126305,0.328994,0.319150
007931,0.123310,0.123678,0.332141,0.321593
007949,0.095786,0.123054,0.080016,0.250789
007950,0.237783,0.236145,0.491875,0.478124
007967,0.135105,0.159510,0.465626,0.429248
007968,0.139311,0.124422,0.269106,0.302538
007973,0.139329,0.134261,0.159727,0.289399
007974,0.132276,0.131759,0.153930,0.274152
007975,0.123081,0.139179,0.149987,0.297696
007976,0.121113,0.126355,0.147475,0.249971
007977,0.138517,0.126355,0.159918,0.249971
007978,0.137607,0.126355,0.157937,0.249971
007979,0.256052,0.251419,0.445884,0.460150
007980,0.256566,0.249021,0.446055,0.463012
007995,0.138815,0.142689,0.268779,0.288500
008020,0.168659,0.148312,0.478946,0.439493
008021,0.165264,0.148312,0.479252,0.439493
008022,0.166498,0.148312,0.478854,0.439493
008023,0.166416,0.147793,0.479159,0.437461
008024,0.167904,0.148323,0.479275,0.439627
008025,0.167538,0.147880,0.478649,0.438074
008026,0.168449,0.148312,0.478283,0.439493
008028,0.168727,0.148312,0.479521,0.439493
008029,0.165861,0.148312,0.479983,0.439493
008030,0.168137,0.146927,0.479104,0.440689
008036,0.228695,0.215350,0.463478,0.489574
008037,0.234176,0.207012,0.461875,0.473765
008040,0.198322,0.192269,0.485180,0.474850
008041,0.197607,0.191968,0.485009,0.467013
008047,0.113259,0.135681,0.399041,0.444793
008050,0.132901,0.156151,0.285554,0.322615
008051,0.132808,0.190190,0.284920,0.387144
008067,0.116964,0.114774,0.367061,0.374575
008087,0.217402,0.225296,0.454896,0.439033
008090,0.195584,0.199094,0.505878,0.474084
008093,0.130267,0.126013,0.254180,0.282645
008094,0.132389,0.115257,0.234777,0.338318
008095,0.125925,0.126777,0.124530,0.290998
008096,0.126653,0.126141,0.126776,0.312082
008098,0.113694,0.126157,0.094214,0.219651
008106,0.124860,0.126095,0.340232,0.342640
008109,0.143619,0.116260,0.210508,0.192434
008110,0.143071,0.123885,0.216503,0.208329
008111,0.109050,0.156476,0.083530,0.208603
008112,0.108607,0.143640,0.079605,0.214292
008113,0.108182,0.135867,0.124970,0.206007
008114,0.145948,0.118490,0.213696,0.192695
008115,0.104918,0.132710,0.193083,0.171973
008116,0.103666,0.118221,0.199850,0.221015
008119,0.138745,0.129719,0.232872,0.232333
008124,0.106543,0.130074,0.174818,0.178020
008125,0.107278,0.117030,0.171709,0.199514
008126,0.112826,0.131304,0.149555,0.192138
008127,0.110994,0.115241,0.147269,0.178969
008128,0.123232,0.127979,0.343130,0.349378
008132,0.154228,0.223957,0.480564,0.476051
008146,0.217536,0.202971,0.452248,0.480285
008147,0.219305,0.196337,0.447883,0.475817
008148,0.228425,0.198213,0.443593,0.487025
008149,0.226201,0.187609,0.446711,0.469990
008152,0.185165,0.210265,0.450954,0.451153
008153,0.181716,0.201697,0.448753,0.454660
008155,0.175083,0.192145,0.458493,0.464453
008156,0.106915,0.129048,0.347881,0.369343
008164,0.167674,0.148337,0.479389,0.439633
008165,0.164582,0.148312,0.478499,0.439493
008168,0.122187,0.131098,0.222794,0.221582
008169,0.123990,0.142540,0.227695,0.245616
008170,0.183492,0.149820,0.246369,0.233668
008206,0.159345,0.188380,0.495090,0.453732
008209,0.129866,0.130693,0.462040,0.462300
008218,0.262123,0.251337,0.446218,0.460808
008222,0.159804,0.150043,0.477618,0.442754
008238,0.260741,0.235442,0.452559,0.454399
008239,0.193705,0.199873,0.463822,0.454272
008240,0.200094,0.213380,0.464460,0.490166
