stop_id,walk15_gini,multimodal_gini,walk15_mean_price,multimodal_mean_price
007877,0.139,0.151,0.852,0.78
007878,0.139,0.1509,0.852,0.78
007879,0.1582,0.17,0.709,0.639
007881,0.1481,0.1493,0.615,0.658
007883,0.1457,0.1493,0.615,0.658
007884,0.1748,0.1914,0.952,0.813
007885,0.1699,0.192,1.038,0.814
007897,0.1386,0.1515,0.656,0.694
007898,0.1378,0.1515,0.656,0.694
007900,0.131,0.154,0.75,0.787
007913,0.1407,0.1569,0.348,0.392
007914,0.1407,0.1569,0.348,0.392
007919,0.0986,0.1512,0.425,0.448
007923,0.1645,0.1532,0.381,0.388
007924,0.1762,0.1836,0.371,0.375
007927,0.237,0.2043,0.433,0.4
007928,0.1558,0.2043,0.38,0.4
007930,0.1624,0.1997,0.461,0.551
007931,0.1654,0.2006,0.462,0.553
007949,0.1906,0.1227,0.658,0.749
007950,0.1597,0.156,0.623,0.601
007967,0.1394,0.1515,0.657,0.694
007968,0.2172,0.166,0.437,0.419
007973,0.2138,0.1875,0.571,0.807
007974,0.2121,0.1875,0.571,0.807
007975,0.2105,0.1875,0.563,0.807
007976,0.2116,0.1875,0.567,0.807
007977,0.2071,0.1875,0.582,0.807
007978,0.2138,0.1875,0.571,0.807
007979,0.1601,0.1924,0.771,0.809
007980,0.1599,0.1458,0.77,0.682
007995,0.2119,0.1768,0.489,0.45
008020,0.145,0.1398,0.537,0.516
008021,0.1406,0.1398,0.535,0.516
008022,0.1446,0.1398,0.538,0.516
008023,0.1437,0.1398,0.538,0.516
008024,0.145,0.1398,0.537,0.516
008025,0.1446,0.1398,0.538,0.516
008026,0.1437,0.1398,0.538,0.516
008028,0.1461,0.1398,0.537,0.516
008029,0.1425,0.1398,0.537,0.516
008030,0.1437,0.1398,0.539,0.516
008036,0.1853,0.159,0.584,0.564
008037,0.1899,0.159,0.566,0.564
008040,0.1095,0.1847,0.703,0.807
008041,0.1104,0.1847,0.702,0.807
008047,0.1325,0.1313,0.423,0.432
008050,0.1629,0.1535,0.863,0.751
008051,0.1631,0.1633,0.871,0.791
008067,0.1371,0.1371,0.39,0.392
008087,0.1472,0.1517,0.781,0.804
008090,0.1197,0.1846,0.727,0.807
008093,0.1799,0.1716,0.399,0.372
008094,0.1817,0.1532,0.399,0.388
008095,0.196,0.1728,0.321,0.371
008096,0.1894,0.1532,0.323,0.388
008098,0.1592,0.214,0.546,0.529
008106,0.1654,0.1997,0.504,0.551
008109,0.1687,0.1806,0.398,0.378
008110,0.1657,0.1763,0.4,0.381
008111,0.1977,0.1545,0.346,0.314
008112,0.2069,0.1824,0.368,0.377
008113,0.1737,0.1824,0.398,0.377
008114,0.1773,0.1806,0.401,0.378
008115,0.1606,0.1939,0.481,0.572
008116,0.1562,0.1931,0.459,0.576
008119,0.1679,0.1763,0.416,0.381
008124,0.1505,0.2151,0.481,0.528
008125,0.1524,0.1931,0.481,0.576
008126,0.1616,0.2151,0.495,0.528
008127,0.1571,0.1931,0.491,0.576
008128,0.1677,0.1997,0.514,0.551
008132,0.1501,0.1594,0.572,0.599
008146,0.1708,0.1674,0.547,0.597
008147,0.1774,0.1602,0.551,0.606
008148,0.1803,0.1674,0.632,0.596
008149,0.1851,0.1583,0.613,0.565
008152,0.1253,0.17,0.654,0.632
008153,0.127,0.1617,0.649,0.629
008155,0.1589,0.2165,0.703,0.545
008156,0.1301,0.1401,0.483,0.446
008164,0.1453,0.1398,0.537,0.516
008165,0.1392,0.1398,0.536,0.516
008168,0.1652,0.1791,0.427,0.391
008169,0.1624,0.1791,0.427,0.391
008170,0.1673,0.0185,0.351,0.135
008206,0.1403,0.1414,0.585,0.595
008209,0.1529,0.1428,0.571,0.6
008218,0.1696,0.1925,1.086,0.813
008222,0.13,0.1398,0.534,0.516
008238,0.1707,0.1127,1.069,0.798
008239,0.1417,0.1702,0.671,0.634
008240,0.1413,0.1697,0.671,0.357
008241,0.1484,0.1374,0.585,0.594
008242,0.1382,0.1374,0.583,0.594
008243,0.1337,0.1503,0.418,0.446
008245,0.179,0.2037,0.49,0.49
008246,0.1162,0.1451,0.433,0.418
008260,0.1623,0.1477,0.819,0.829
008261,0.164,0.1478,0.825,0.83
008262,0.2095,0.1602,0.596,0.606
008265,0.1591,0.2156,0.698,0.545
008269,0.1494,0.1551,0.511,0.637
008270,0.149,0.1551,0.512,0.637
008272,0.1607,0.2165,0.697,0.545
008280,0.1343,,0.578,
008283,0.1643,0.1459,0.487,0.48
008284,0.1546,0.1459,0.502,0.48
008286,0.1683,0.1868,0.569,0.554
008287,0.176,0.193,0.546,0.566
008289,0.1626,0.1397,0.475,0.48
008336,0.1099,0.175,0.498,0.455
008337,0.123,0.175,0.476,0.455
008341,0.1538,0.0934,0.447,0.462
008344,0.143,0.1535,0.777,0.783
008353,0.1885,0.1467,0.456,0.437
008379,0.1539,0.1356,0.46,0.472
008380,0.1533,0.1356,0.46,0.472
008382,0.1406,0.1398,0.535,0.516
008383,0.1391,0.1398,0.534,0.516
008399,0.1811,0.1802,0.334,0.377
008402,0.2075,0.208,0.591,0.612
008403,0.2071,0.2027,0.591,0.61
008404,0.1842,0.2069,0.656,0.613
008405,0.1805,0.2041,0.663,0.613
008406,0.1489,0.2041,0.711,0.614
008407,0.1511,0.2027,0.704,0.61
008408,0.1356,0.2027,0.714,0.61
008409,0.135,0.2032,0.724,0.618
008410,0.1577,0.204,0.697,0.609
008411,0.1577,0.2037,0.697,0.612
008412,0.1544,0.1488,0.61,0.658
008426,0.1418,0.1397,0.397,0.48
008440,0.1675,0.1884,0.386,0.403
008455,0.158,0.1127,0.881,0.798
008458,0.1364,0.1428,0.588,0.6
008459,0.1481,0.1428,0.587,0.6
008460,0.1412,0.1158,0.583,0.636
008461,0.1548,0.1428,0.575,0.6
008481,0.185,0.2156,0.285,0.304
008490,0.1197,0.1703,0.492,0.405
008491,0.1234,0.1569,0.354,0.392
008498,0.1336,0.1334,0.477,0.5
008499,0.1163,0.1334,0.513,0.5
008500,0.1139,0.1673,0.513,0.422
008501,0.1472,0.0,0.661,0.57
008519,0.1371,0.1659,0.661,0.683
008521,0.1477,0.1661,0.626,0.714
008535,0.1436,0.1882,0.362,0.454
008544,0.1496,0.1663,0.73,0.675
008545,0.1549,0.1594,0.56,0.599
008546,0.1501,0.2133,0.681,0.391
008559,0.1518,0.1544,0.864,0.752
008560,0.1527,0.14,0.851,0.729
008567,0.1926,0.1417,0.805,0.754
008569,0.1436,0.1885,0.362,0.455
008575,0.1105,0.1675,0.504,0.404
008577,0.1697,0.1582,0.358,0.389
008587,0.1455,0.2396,0.438,0.387
008588,0.1523,0.2396,0.438,0.387
008589,0.1265,0.1337,0.501,0.5
008590,0.1801,0.1944,0.884,0.816
008591,0.1804,0.1944,0.885,0.816
008593,0.119,0.1846,0.73,0.807
008605,0.1536,0.1659,0.741,0.683
008644,0.0,0.1366,0.63,0.455
008645,0.0557,0.1366,0.53,0.455
008692,0.1437,0.144,0.414,0.444
008694,0.1804,,0.713,
008697,0.1241,0.1503,0.503,0.564
008702,0.1487,0.1452,0.659,0.666
008708,0.0614,0.1366,0.378,0.455
008725,0.1534,0.1594,0.559,0.599
008731,0.1513,0.1515,0.821,0.806
008736,0.1306,0.1276,0.777,0.76
008737,0.1335,0.1276,0.785,0.76
008750,0.1794,0.1875,0.856,0.813
008754,0.1737,0.1802,0.343,0.377
008782,0.1826,0.1982,0.739,0.782
008785,0.1543,0.1594,0.563,0.599
008788,0.161,0.1564,0.701,0.349
008789,0.161,0.2204,0.701,0.532
008792,0.3136,0.2784,1.051,1.001
008793,0.1571,0.0816,0.452,0.513
008832,0.1709,0.1681,0.417,0.411
008841,0.0969,0.1459,0.569,0.48
008842,0.0476,0.1459,0.612,0.48
008844,0.1373,0.1372,0.593,0.57
008850,0.1446,0.1806,0.425,0.401
008863,0.1287,0.1425,0.465,0.433
008893,0.1683,0.2109,0.463,0.448
008894,0.1622,0.2388,0.482,0.362
008895,0.1533,0.2427,0.489,0.363
008896,0.1758,0.2427,0.469,0.363
008898,0.1664,0.1884,0.372,0.403
008903,0.1078,0.1647,0.452,0.44
008904,0.1568,0.1537,0.417,0.397
008910,0.0993,0.1438,0.568,0.488
008911,0.0912,0.144,0.575,0.487
008918,0.1693,0.1692,0.486,0.425
008921,0.1817,0.1532,0.399,0.388
008922,0.1767,0.1813,0.462,0.386
008923,0.142,0.1258,0.46,0.441
008924,0.142,0.1258,0.46,0.441
008939,0.1791,0.2049,0.5,0.617
008943,0.1697,0.1979,0.486,0.56
008946,0.1877,0.1832,0.412,0.434
008947,0.1958,0.1826,0.435,0.434
008948,0.1907,0.1781,0.345,0.372
008949,0.1726,0.1802,0.343,0.377
008950,0.1735,0.1787,0.343,0.375
008952,0.1752,0.1828,0.452,0.396
008953,0.1956,0.1981,0.295,0.326
008954,0.1968,0.1981,0.296,0.326
008955,0.195,0.1981,0.306,0.326
008956,0.192,0.1981,0.306,0.326
008957,0.1878,0.1981,0.334,0.326
008958,0.181,0.1981,0.344,0.326
008959,0.1883,0.2135,0.287,0.303
008960,0.1925,0.2449,0.289,0.355
008963,0.1898,0.2449,0.301,0.355
008967,0.1523,0.183,0.351,0.332
008971,0.1756,0.1748,0.462,0.406
009025,0.1742,0.1201,0.874,0.697
009026,0.1743,0.1924,0.875,0.809
009039,0.1479,0.1441,0.766,0.736
009041,0.1478,0.1697,0.662,0.357
009042,0.141,0.2165,0.666,0.545
009047,0.1213,0.1459,0.544,0.48
009072,0.1087,0.1512,0.442,0.448
009137,0.1092,0.152,0.435,0.398
009138,0.1128,0.1569,0.432,0.392
009139,0.1342,0.1545,0.41,0.396
009140,0.139,0.1569,0.405,0.392
009146,0.1454,0.1452,0.659,0.666
009147,0.1809,0.1989,0.339,0.324
009148,0.1462,0.1459,0.456,0.48
009153,0.1478,0.1494,0.609,0.652
009154,0.1589,,0.479,
009155,0.1558,0.1397,0.488,0.48
009161,0.1611,0.1613,0.614,0.595
009162,0.1604,0.1613,0.614,0.595
009163,0.1614,0.1613,0.614,0.595
009174,0.1471,0.1527,0.784,0.811
009179,0.1244,0.1352,0.695,0.651
009208,0.1816,0.1868,0.409,0.385
009220,0.1194,0.1846,0.731,0.807
009225,0.1365,,0.463,
009230,0.1732,0.1914,0.981,0.813
009234,0.1816,0.1802,0.336,0.377
009243,0.1833,0.1981,0.332,0.326
009289,0.1354,0.1425,0.455,0.433
009290,0.1585,0.2165,0.694,0.545
009295,0.1426,0.1692,0.628,0.684
009309,0.1735,0.1914,0.958,0.813
009311,0.0528,,0.337,
009312,0.0528,,0.337,
009314,0.0528,,0.337,
009315,0.0528,0.2067,0.337,0.392
009318,0.133,0.1437,0.539,0.524
009321,0.1598,0.1613,0.613,0.595
009322,0.1401,0.1398,0.535,0.516
009337,0.2087,0.2067,0.303,0.392
009338,0.2087,0.2449,0.303,0.355
009339,0.1951,0.2449,0.292,0.355
009349,0.1571,0.089,0.721,0.962
009351,0.1481,0.089,0.729,0.962
009352,0.1579,0.089,0.706,0.962
009353,0.1612,0.089,0.688,0.962
009354,0.1495,0.089,0.718,0.962
009355,0.1439,0.089,0.712,0.962
009356,0.1445,0.1515,0.711,0.694
009358,0.2079,0.2449,0.355,0.355
009359,0.1667,0.2133,0.699,0.391
009365,0.1915,,0.791,
009373,0.1618,0.1704,0.465,0.446
009375,0.1931,0.1832,0.416,0.434
009377,0.1668,0.1576,0.448,0.461
009379,0.1669,0.197,0.469,0.47
009381,0.1224,0.1819,0.475,0.439
009382,0.1844,0.1819,0.419,0.439
009383,0.176,0.1819,0.424,0.439
009392,0.192,0.2069,0.622,0.613
009393,0.1892,0.2069,0.642,0.613
009394,0.1731,0.1908,0.613,0.617
009413,0.1494,0.1529,0.784,0.804
