stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range,total
1010102,10,0,2,0,7,3,51,2,10,walk,5,85
1010103,8,0,3,0,7,2,34,3,14,walk,5,71
1010105,9,1,4,0,7,4,34,5,15,walk,5,79
1010106,9,1,4,0,7,3,34,5,16,walk,5,79
1010107,9,1,4,0,10,2,37,3,16,walk,5,82
1010108,9,1,3,0,10,2,37,3,15,walk,5,80
1010109,6,1,2,0,7,1,19,2,13,walk,5,51
1010110,8,1,2,0,7,1,23,2,12,walk,5,56
1010115,10,0,3,0,7,2,52,2,10,walk,5,86
1010124,11,1,4,0,14,5,44,4,14,walk,5,97
1010125,9,1,4,0,14,4,51,4,14,walk,5,101
1010128,9,1,3,0,9,2,37,3,16,walk,5,80
1010180,9,0,0,0,9,2,74,1,10,walk,5,105
1010419,9,0,3,0,7,2,68,2,12,walk,5,103
1010420,10,1,2,0,6,2,66,2,13,walk,5,102
1010421,8,1,4,0,9,4,39,3,13,walk,5,81
1010422,12,1,4,0,9,4,46,3,12,walk,5,91
1010424,10,0,3,0,7,2,52,2,9,walk,5,85
1010425,10,0,2,0,9,3,59,2,7,walk,5,92
1010427,9,1,4,0,14,4,51,4,14,walk,5,101
1010428,11,1,4,0,14,5,44,4,14,walk,5,97
1020100,5,4,7,0,3,1,99,1,16,walk,5,136
1020101,11,9,12,0,8,1,180,1,38,walk,5,260
1020105,5,1,4,0,11,4,30,4,8,walk,5,67
1020106,7,1,4,0,7,4,56,4,12,walk,5,95
1020112,8,8,9,0,3,0,168,0,26,walk,5,222
1020113,8,8,9,0,2,0,152,0,28,walk,5,207
1020115,8,8,9,0,1,1,153,1,27,walk,5,208
1020116,8,8,9,0,1,1,155,1,28,walk,5,211
1020117,7,8,9,0,1,1,154,1,26,walk,5,207
1020118,6,8,8,0,1,0,125,0,21,walk,5,169
1020119,7,8,8,0,1,1,130,0,25,walk,5,180
1020120,8,8,9,0,1,1,150,0,28,walk,5,205
1020121,6,7,8,0,1,0,121,0,22,walk,5,165
1020122,8,8,9,0,1,1,150,1,27,walk,5,205
1020123,7,7,8,0,1,1,145,1,25,walk,5,195
1020129,10,6,7,0,5,1,111,0,12,walk,5,152
1020131,9,6,7,0,6,0,105,0,8,walk,5,141
1020132,9,6,7,0,6,0,99,0,9,walk,5,136
1020133,9,6,7,0,6,0,105,0,7,walk,5,140
1020135,9,6,7,0,6,0,102,0,7,walk,5,137
1020169,7,1,4,0,9,5,51,4,12,walk,5,93
1020171,9,7,10,0,6,1,148,0,28,walk,5,209
1020174,12,9,11,0,7,1,187,1,40,walk,5,268
1020177,11,9,12,0,7,1,178,1,38,walk,5,257
1020182,6,8,9,0,2,0,154,0,25,walk,5,204
1020204,6,6,8,0,1,1,129,1,19,walk,5,171
1020239,9,6,7,0,6,0,96,0,8,walk,5,132
1020241,9,6,7,0,6,0,96,0,8,walk,5,132
1020243,9,6,7,0,6,0,92,0,7,walk,5,127
1020245,9,5,7,0,8,0,91,0,7,walk,5,127
1020401,10,7,8,0,6,1,159,1,30,walk,5,222
1020402,10,7,8,0,6,2,171,1,32,walk,5,237
1020443,11,9,12,0,7,1,195,1,40,walk,5,276
1020444,11,9,12,0,7,1,179,1,38,walk,5,258
1020446,7,9,7,0,6,1,191,1,46,walk,5,268
1020447,4,5,1,0,1,0,87,1,20,walk,5,119
1020448,15,5,4,0,5,1,185,0,36,walk,5,251
1020449,6,5,1,0,2,1,74,0,19,walk,5,108
1020450,5,1,0,0,1,1,44,0,9,walk,5,61
1020453,10,8,10,0,4,1,180,0,38,walk,5,251
1020454,10,9,8,0,4,1,181,0,39,walk,5,252
1020455,5,1,0,0,1,1,45,0,10,walk,5,63
1020456,8,6,7,0,4,1,151,1,25,walk,5,203
1020457,7,3,2,0,4,3,91,1,22,walk,5,133
1020458,9,3,3,0,5,4,103,2,23,walk,5,152
1020459,8,1,4,0,8,4,49,4,13,walk,5,91
1020460,8,1,4,0,8,5,53,2,12,walk,5,93
1020463,17,8,10,0,9,2,197,2,63,walk,5,308
1020464,19,8,9,0,8,2,181,4,54,walk,5,285
1020501,8,7,9,0,4,0,141,0,19,walk,5,188
1020502,8,5,6,0,5,0,74,0,7,walk,5,105
1020503,7,3,7,0,5,0,84,1,8,walk,5,115
1020601,10,9,9,0,5,1,180,0,41,walk,5,255
1020602,10,9,9,0,5,1,180,0,41,walk,5,255
1020603,7,3,3,0,3,3,96,1,18,walk,5,134
1020604,7,3,3,0,3,3,96,1,18,walk,5,134
1030100,8,1,1,0,3,2,67,1,13,walk,5,96
1030102,22,8,7,1,7,3,185,3,59,walk,5,295
1030113,21,3,6,2,9,11,88,7,73,walk,5,220
1030114,8,1,1,1,4,2,71,1,21,walk,5,110
1030119,23,2,5,1,10,9,127,6,70,walk,5,253
1030121,21,7,5,1,9,3,177,3,57,walk,5,283
1030122,20,8,9,0,8,2,183,3,50,walk,5,283
1030401,23,2,5,2,10,9,137,7,72,walk,5,267
1030424,14,1,2,0,6,2,105,1,19,walk,5,150
1030425,13,1,1,0,6,3,84,1,15,walk,5,124
1030426,8,1,1,1,5,2,63,1,18,walk,5,100
1030427,7,1,1,1,5,2,65,1,19,walk,5,102
1030428,23,3,5,1,10,9,126,6,67,walk,5,250
1030429,23,2,5,1,10,9,118,6,69,walk,5,243
1040102,21,3,6,2,7,9,126,8,120,walk,5,302
1040104,23,3,4,2,10,7,154,7,91,walk,5,301
1040112,13,3,10,0,14,5,123,5,102,walk,5,275
1040115,9,3,12,0,13,4,99,7,53,walk,5,200
1040117,15,5,15,0,10,5,187,3,68,walk,5,308
1040123,19,3,6,1,8,9,120,5,132,walk,5,303
1040124,14,2,6,1,11,4,89,4,105,walk,5,236
1040125,13,5,13,0,11,6,158,7,113,walk,5,326
1040126,11,2,9,0,13,9,127,5,99,walk,5,275
1040127,14,4,11,0,14,6,140,5,111,walk,5,305
