stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range,total
1010102,75,16,46,3,101,26,593,39,275,public_transport,,1174
1010103,52,11,34,2,60,11,382,17,124,public_transport,,693
1010105,65,16,48,2,100,22,546,30,206,public_transport,,1035
1010106,53,16,44,2,79,18,515,28,186,public_transport,,941
1010107,58,14,49,2,100,17,458,29,157,public_transport,,884
1010108,93,19,67,3,140,34,720,47,305,public_transport,,1428
1010109,54,10,45,2,107,17,415,27,148,public_transport,,825
1010110,69,16,52,2,110,25,576,34,215,public_transport,,1099
1010115,72,15,43,2,83,22,554,26,211,public_transport,,1028
1010124,79,18,62,2,148,29,691,44,281,public_transport,,1354
1010125,95,19,66,3,182,30,726,55,314,public_transport,,1490
1010128,69,16,52,2,105,23,562,34,205,public_transport,,1068
1010180,29,7,13,2,51,15,282,24,133,public_transport,,556
1010419,96,20,67,4,190,37,773,53,398,public_transport,,1638
1010420,87,20,65,4,181,30,708,54,310,public_transport,,1459
1010421,105,22,77,4,255,36,810,60,369,public_transport,,1738
1010422,101,20,67,5,163,39,748,50,353,public_transport,,1546
1010424,101,22,68,6,159,46,829,56,472,public_transport,,1759
1010425,70,15,42,2,79,22,539,25,208,public_transport,,1002
1010427,115,26,99,4,319,41,899,74,437,public_transport,,2014
1010428,84,19,63,2,150,30,697,45,292,public_transport,,1382
1020100,143,32,124,14,357,70,1144,100,621,public_transport,,2605
1020101,143,32,124,14,369,71,1151,105,622,public_transport,,2631
1020105,95,25,93,3,313,31,845,75,384,public_transport,,1864
1020106,107,20,65,5,173,37,765,53,386,public_transport,,1611
1020112,143,32,124,14,357,70,1144,100,621,public_transport,,2605
1020113,152,33,124,14,369,71,1161,106,630,public_transport,,2660
1020115,153,33,129,14,416,72,1194,119,645,public_transport,,2775
1020116,152,33,126,14,368,71,1163,105,630,public_transport,,2662
1020117,144,32,124,14,361,71,1144,101,621,public_transport,,2612
1020118,144,32,124,14,361,71,1144,101,621,public_transport,,2612
1020119,145,32,126,14,372,72,1159,104,626,public_transport,,2650
1020120,144,32,124,14,361,71,1144,101,621,public_transport,,2612
1020121,143,32,124,14,357,70,1144,100,621,public_transport,,2605
1020122,144,32,125,14,366,71,1150,101,622,public_transport,,2625
1020123,145,32,125,14,372,72,1160,104,626,public_transport,,2650
1020129,145,32,124,14,359,70,1149,101,627,public_transport,,2621
1020131,145,32,128,15,382,71,1159,106,632,public_transport,,2670
1020132,145,32,128,15,383,71,1159,106,632,public_transport,,2671
1020133,145,32,124,15,364,70,1152,101,628,public_transport,,2631
1020135,145,32,124,15,364,70,1152,101,628,public_transport,,2631
1020169,114,26,96,6,306,42,901,74,452,public_transport,,2017
1020171,144,32,124,14,358,71,1146,101,627,public_transport,,2617
1020174,143,32,125,14,377,72,1154,102,622,public_transport,,2641
1020177,143,32,124,14,370,74,1152,107,622,public_transport,,2638
1020182,144,32,124,14,361,71,1144,101,621,public_transport,,2612
1020204,152,33,126,14,382,72,1180,113,634,public_transport,,2706
1020239,145,32,128,16,392,72,1159,109,632,public_transport,,2685
1020241,145,32,128,15,383,71,1159,106,632,public_transport,,2671
1020243,145,32,128,15,383,71,1159,106,632,public_transport,,2671
