stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
1302216,3.898,3.926,8.849
1302218,4.553,4.581,9.494
1302217,3.799,3.827,8.757
1301215,3.068,3.095,7.948
1310142,5.474,5.501,10.538
1310143,5.461,5.488,10.525
1310145,5.793,5.82,10.834
1320199,5.799,5.825,10.84
1310104,5.025,5.052,10.115
1310141,5.098,5.125,10.173
1310129,5.981,6.009,11.068
1310130,5.982,6.009,11.074
1310131,5.834,5.861,10.901
1532143,5.855,5.882,10.931
1310109,5.718,5.747,10.85
1310110,5.755,5.784,10.887
1310127,5.72,5.748,10.843
1310128,5.742,5.77,10.864
1310146,5.981,6.007,10.999
1310200,6.058,6.085,11.069
1310133,6.099,6.126,11.136
1310134,5.989,6.016,11.037
1310137,6.216,6.243,11.252
1310101,4.875,4.902,9.945
1310102,4.871,4.898,9.937
1310139,4.851,4.878,9.917
1310140,5.214,5.242,10.289
1310103,5.113,5.14,10.214
1201131,4.326,4.352,9.304
1201132,4.313,4.338,9.284
1310205,5.548,5.576,10.677
1310111,5.987,6.015,11.123
1310112,5.955,5.983,11.091
1310124,5.507,5.536,10.657
1310225,5.496,5.525,10.644
1310105,5.27,5.298,10.39
1310106,5.239,5.266,10.35
1310601,5.407,5.435,10.524
1310602,5.402,5.43,10.519
1201107,4.198,4.22,9.012
1201130,4.054,4.078,8.924
1201135,4.152,4.176,9.009
1201136,4.146,4.169,8.993
1201431,4.146,4.169,8.993
1201432,4.152,4.176,9.009
1201601,4.229,4.252,9.082
1201602,4.229,4.252,9.082
1201113,4.143,4.167,8.986
1310126,5.402,5.43,10.537
1310113,6.099,6.127,11.243
1310114,6.086,6.115,11.228
1310115,6.021,6.05,11.176
1310116,6.082,6.111,11.235
1310117,5.842,5.871,10.999
1310118,5.864,5.893,11.021
1310299,5.775,5.804,10.932
1310119,5.653,5.682,10.806
1310120,5.675,5.704,10.828
1310121,5.481,5.51,10.622
1303100,5.082,5.11,10.069
1303102,5.141,5.17,10.123
1303103,5.087,5.116,10.139
1303104,5.103,5.132,10.154
1303105,5.057,5.086,10.086
1303107,5.031,5.059,10.037
1303108,5.089,5.118,10.101
1303112,5.049,5.078,10.033
1303113,5.06,5.088,10.043
1303114,5.074,5.102,10.036
1302219,4.434,4.462,9.38
1303111,5.256,5.285,10.224
1412118,10.975,10.946,5.818
1412134,10.992,10.963,5.835
1412298,11.075,11.046,5.919
1492126,9.43,9.417,9.256
1492122,8.866,8.853,8.731
1492123,8.867,8.854,8.732
1492103,9.796,9.783,9.493
1335100,7.036,7.027,6.587
1335101,7.043,7.034,6.615
1333105,7.419,7.419,8.521
1333106,7.441,7.442,8.569
1333182,7.436,7.437,8.58
1492143,8.557,8.545,8.579
1492144,8.512,8.499,8.558
1492121,8.733,8.72,8.597
1492145,8.747,8.734,8.581
1492146,8.735,8.721,8.572
1492141,8.097,8.086,8.317
1492142,8.094,8.082,8.31
1492100,9.289,9.276,9.151
1492151,8.94,8.926,8.642
1492152,8.893,8.88,8.617
1492147,8.845,8.831,8.453
1492148,8.864,8.85,8.485
1492149,8.713,8.698,8.201
1370103,5.19,5.164,1.362
1370104,5.179,5.152,1.378
1370107,5.79,5.762,1.15
1370108,5.746,5.718,1.096
1370109,5.982,5.954,1.334
1370110,5.934,5.906,1.245
1370124,5.965,5.937,1.303
1370501,5.84,5.812,1.172
1370551,5.84,5.812,1.172
1382119,5.988,5.96,1.221
1382120,6.01,5.982,1.23
1284178,4.761,4.735,1.461
1510101,8.068,8.061,9.031
1510102,8.083,8.076,9.049
1510103,8.142,8.136,9.307
1510104,8.148,8.142,9.3
1495154,7.829,7.82,8.625
1495155,7.817,7.809,8.602
1510105,8.147,8.142,9.524
1510106,8.101,8.096,9.426
1510107,8.356,8.353,9.874
1454120,6.722,6.694,3.158
1454121,6.662,6.635,3.099
1362112,5.537,5.508,1.476
1362113,5.602,5.573,1.601
1362118,5.614,5.585,1.522
1456122,7.134,7.107,3.821
1456123,7.134,7.108,3.84
1362131,5.984,5.955,1.242
1362132,5.966,5.937,1.237
1362119,6.561,6.532,1.764
1362133,6.599,6.57,1.764
1362104,6.809,6.78,1.942
1362143,6.75,6.721,1.894
1362144,6.728,6.699,1.864
1362105,5.424,5.394,0.821
1362107,5.341,5.312,0.857
1362108,5.321,5.291,0.838
1362125,5.514,5.485,0.935
1362139,5.341,5.312,0.936
1362140,5.325,5.295,0.9
1362141,5.5,5.47,0.892
1362142,5.477,5.447,0.812
1473162,10.892,10.865,6.824
1473163,10.88,10.853,6.808
1473164,11.227,11.2,7.071
1473165,11.248,11.22,7.08
1451192,10.361,10.334,6.457
1451193,10.329,10.302,6.428
1473122,10.626,10.598,6.474
1473123,10.336,10.308,6.181
1473121,10.757,10.729,6.607
1451103,9.887,9.859,5.788
1451104,9.892,9.864,5.788
1414145,10.425,10.395,5.354
1414146,10.36,10.331,5.294
1414143,10.039,10.01,4.987
1414144,10.051,10.022,4.997
1414147,10.727,10.698,5.633
1414148,10.709,10.68,5.614
1413112,9.336,9.307,4.232
1413119,9.597,9.568,4.469
1413113,9.243,9.213,4.143
1384161,8.652,8.623,3.587
1385162,8.636,8.607,3.568
1413118,9.502,9.473,4.38
1413114,9.865,9.836,4.72
1413116,10.242,10.213,5.092
1413117,10.258,10.229,5.107
1413283,10.265,10.236,5.111
1413115,9.753,9.724,4.612
1414141,9.824,9.794,4.754
1414142,9.824,9.795,4.752
1414139,9.75,9.721,4.651
1414140,9.783,9.753,4.68
1414137,10.097,10.068,4.97
1414138,10.147,10.118,5.019
1414149,11.035,11.006,5.905
1414154,11.037,11.008,5.908
1414155,10.882,10.853,5.782
1414156,10.859,10.83,5.761
1412130,10.384,10.355,5.232
1413158,10.353,10.323,5.203
1411105,9.982,9.953,4.827
1414152,10.688,10.659,5.564
1414153,10.667,10.638,5.539
1414135,10.484,10.455,5.349
1414136,10.465,10.435,5.33
1412132,10.778,10.749,5.621
1370113,6.487,6.461,2.224
1370114,6.435,6.409,2.165
1391116,6.75,6.725,2.632
1391117,6.729,6.703,2.61
1370111,6.218,6.191,1.705
1370112,6.23,6.203,1.724
1370118,6.301,6.274,1.78
1370102,6.056,6.029,1.801
1362127,6.118,6.089,1.661
1362128,6.125,6.096,1.653
1362129,6.423,6.394,1.742
1362130,6.356,6.327,1.712
1362115,5.796,5.767,1.562
1362116,5.772,5.743,1.542
1362145,7.18,7.151,2.373
1362146,7.139,7.11,2.31
1362101,6.742,6.713,2.025
1385152,8.219,8.19,3.137
1412133,10.688,10.659,5.532
1411111,10.522,10.493,5.375
1411112,10.545,10.516,5.398
1411119,10.632,10.604,5.483
1412120,10.663,10.634,5.511
1385160,8.349,8.32,3.215
1385161,8.319,8.29,3.194
1382158,8.113,8.085,3.039
1382159,8.081,8.053,3.015
1385180,9.263,9.234,4.143
1392101,8.453,8.425,3.374
1392102,8.454,8.426,3.375
1382111,8.258,8.23,3.185
1392100,8.236,8.207,3.161
1392103,8.682,8.654,3.626
1392104,8.692,8.664,3.636
1382112,7.733,7.705,2.687
1382165,7.495,7.467,2.483
1382166,7.409,7.38,2.404
1385104,9.471,9.443,4.366
1411102,9.499,9.471,4.403
1411103,9.54,9.511,4.429
1385102,9.166,9.138,4.054
1385163,9.138,9.109,4.017
1411100,9.329,9.301,4.299
1411104,9.327,9.299,4.297
1385100,9.175,9.146,4.083
1385101,9.175,9.146,4.083
1392105,8.887,8.859,3.831
1392106,8.894,8.866,3.838
1392107,9.014,8.985,3.958
1392108,9.006,8.978,3.951
1392501,8.96,8.931,3.923
1392551,8.96,8.931,3.923
1392138,8.923,8.895,3.941
1392155,8.911,8.883,3.929
1392150,8.782,8.754,3.763
1392151,8.766,8.737,3.748
1392136,9.245,9.218,4.332
1402181,9.274,9.247,4.373
1402182,9.301,9.273,4.373
1392148,8.348,8.32,3.353
1392149,8.337,8.31,3.364
1382163,7.253,7.225,2.258
1382164,7.172,7.144,2.163
1382174,7.145,7.117,2.125
1382176,7.168,7.14,2.153
1382185,7.107,7.078,2.089
1382188,7.151,7.123,2.126
1382501,7.204,7.176,2.223
1382551,7.204,7.176,2.223
1402125,10.155,10.127,5.188
1402126,10.16,10.133,5.192
1402154,10.137,10.11,5.163
1402155,10.137,10.109,5.165
1411117,10.135,10.107,5.139
1411118,10.131,10.103,5.135
1411501,10.131,10.103,5.154
1411551,10.131,10.103,5.154
1364103,4.458,4.429,0.7
1364104,4.423,4.394,0.735
1361112,4.101,4.071,1.103
1364102,4.099,4.07,1.085
1364101,4.092,4.063,1.095
1383101,4.952,4.923,0.24
1383102,4.938,4.909,0.269
1383119,4.993,4.964,0.329
1383159,4.985,4.956,0.313
1364105,4.906,4.877,0.273
1364106,4.883,4.854,0.291
1401103,8.655,8.63,4.378
1401104,8.724,8.699,4.449
1401101,8.261,8.237,4.213
1401102,8.291,8.266,4.236
1401105,9.038,9.013,4.812
1401107,9.002,8.977,4.773
1401117,8.993,8.968,4.744
1401145,8.94,8.915,4.727
1401109,9.125,9.1,4.735
1401110,9.137,9.112,4.735
1401156,9.141,9.116,4.799
1403126,8.217,8.192,3.867
1403127,8.181,8.155,3.841
1382101,7.126,7.097,2.025
1382102,7.108,7.078,2.011
1382128,6.704,6.675,1.549
1382143,6.788,6.759,1.631
1382144,6.785,6.756,1.628
1382150,6.746,6.717,1.589
1382151,6.709,6.68,1.553
1474122,7.287,7.257,2.41
1382145,7.095,7.066,1.96
1382146,7.091,7.062,1.953
1382147,7.404,7.375,2.281
1382148,7.467,7.438,2.343
1382173,7.558,7.529,2.427
1385172,7.577,7.548,2.443
1383106,6.302,6.273,1.199
