stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1302216,1.213,0.9419,7,0.097,3.898,8.849,2,0,1,0,21,0,2,3,0,29,2,0,1,0,21,0,4,3,0,31,1.208,0.0050000000000001,0.0013538039044092,0.0017152658662092,0.0705612964860172,0.0042956735547228,3,60.18696,24.8681,Kuusiniementie,1105,0.250487,0.243822,69749.0,72610.0
1302218,1.565,0.9327,8,0.498,4.553,9.494,4,0,3,0,27,1,12,4,3,54,2,0,1,0,18,0,1,2,0,24,1.307,0.258,0.0002549857593503,0.0017152658662092,0.0659442387226452,0.0025980756631011,30,60.184553,24.857309,Kuusisaarenkuja,1107,0.231618,0.255465,77804.0,67612.0
1302217,4.923,0.5751,29,1.821,3.799,8.757,13,4,15,5,88,9,79,28,45,286,2,0,1,0,19,0,5,4,0,31,1.233,3.69,0.00127176443346,0.0017152658662092,0.0704757053937246,0.0042291241837763,4,60.18716,24.86985,Kuusiniementie,1106,0.255993,0.307291,67406.0,43644.0
1301215,7.78,0.6049,50,3.982,3.068,7.948,16,5,23,9,151,13,137,39,67,460,7,2,5,1,34,4,27,12,6,98,2.735,5.045,0.0069759907287862,0.0017152658662092,0.0757745960568459,0.005926722075398,687,60.192436,24.880264,Saunalahti,1096,0.305224,0.312115,46017.0,41814.0
1310142,4.318,0.8298,25,1.444,5.474,10.538,29,10,29,4,159,14,313,36,169,763,2,2,6,1,113,3,36,14,16,193,2.741,1.5769999999999995,0.0001599286197248,0.0025728987993138,0.0735352126649621,0.0090379472337528,5,60.15653,24.88541,Heikkiläntie,1178,0.289138,0.301789,51189.0,47904.0
1310145,3.786,0.7979,24,1.206,5.793,10.834,24,6,22,4,151,13,213,33,153,619,2,2,6,1,103,2,35,12,16,179,2.381,1.4050000000000002,2.9172537966887957e-05,0.0017152658662092,0.0685426432213609,0.0073371067079059,11,60.15336,24.88507,Vattuniemenkuja,1180,0.284304,0.306007,52599.0,46754.0
1310104,5.733,0.861,32,2.039,5.025,10.115,42,13,37,6,194,19,403,44,205,963,7,2,6,1,97,3,36,14,15,181,2.431,3.302,0.0004541022672737,0.0025728987993138,0.0793014011145657,0.0160545028971622,16,60.16085,24.88663,Koillisväylä,1149,0.299941,0.30922,48178.0,46004.0
1310129,3.839,0.6639,25,1.92,5.981,11.068,8,3,11,4,150,3,65,27,36,307,2,2,6,1,116,3,37,16,16,199,2.817,1.0219999999999998,2.27776231002106e-06,0.0017152658662092,0.0604234533062104,0.0011897417776436,6,60.15365,24.87722,Särkiniementie,1169,0.288133,0.291217,51481.0,50580.0
1310131,3.718,0.6735,23,1.651,5.834,10.901,8,3,11,4,147,3,65,27,36,304,2,2,6,1,112,3,37,15,16,194,2.762,0.956,6.451984977548237e-07,0.0025728987993138,0.0570168513509191,5.8710959998513645e-05,12,60.15394,24.88144,Kiviaidankatu,1171,0.286847,0.289989,51856.0,50939.0
1310109,4.355,0.7196,28,1.725,5.718,10.85,11,4,15,4,165,10,114,35,87,445,2,2,7,1,98,3,31,15,16,175,2.982,1.3730000000000002,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15817,24.87228,Lauttasaaren kirkko,1152,0.298066,0.297948,48580.0,48740.0
