stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_med_inc_walk,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,weighted_gini_multi,weighted_med_inc_multi,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi
1302216,1.457,0.8217,16,0.384,3.898,8.849,2,0,1,0,21,0,2,3,0,29,2,0,1,0,21,0,4,3,0,31,1.208,0.2490000000000001,0.0013538039044092,0.0017152658662092,0.0705612964860172,0.0042956735547228,3,60.18696,24.8681,Kuusiniementie,0.2590033284321728,66109.33626781018,336.4453844006258,1017.6907916127595,1159.4558256851337,0.25190825918139637,69181.62282376777,285.69620424456923,847.4940850485757,979.2177571284093
1302218,1.801,0.8874,18,0.786,4.553,9.494,4,1,3,0,29,1,13,5,3,59,2,0,1,0,18,0,1,2,0,24,1.307,0.494,0.0002549857593503,0.0017152658662092,0.0659442387226452,0.0025980756631011,30,60.184553,24.857309,Kuusisaarenkuja,0.23211574427350506,77589.03863984316,85.36859896039951,301.46953676096115,551.6118895290064,0.26526931745535604,63467.99833814515,414.6315772824536,1198.9156874246307,1243.3593265382383
1302217,5.146,0.5754,65,1.823,3.799,8.757,13,4,14,4,88,10,73,30,43,279,2,0,1,0,19,0,5,4,0,31,1.233,3.913,0.00127176443346,0.0017152658662092,0.0704757053937246,0.0042291241837763,4,60.18716,24.86985,Kuusiniementie,0.2657751630325011,63234.57138400666,405.61923158987065,1205.2764087257765,1304.946711440677,0.3130260052652631,42391.45343185358,958.5799818962896,2465.480314632679,1645.9564898604494
1301215,8.013,0.6593,111,4.105,3.068,7.948,17,6,24,9,156,13,137,41,68,471,7,2,5,1,34,4,27,12,6,98,2.735,5.2780000000000005,0.0069759907287862,0.0017152658662092,0.0757745960568459,0.005926722075398,687,60.192436,24.880264,Saunalahti,0.3088465648570324,44888.62645941662,903.5750465665515,2416.1048557742583,1959.7170284583858,0.3169066609276043,40664.15008817772,979.6738894350358,2488.243325219546,1578.1336112758759
1310142,3.045,0.7405,23,0.802,5.474,10.538,12,5,16,4,138,12,110,27,90,414,2,2,6,1,113,3,36,14,16,193,2.741,0.3039999999999998,0.0001599286197248,0.0025728987993138,0.0735352126649621,0.0090379472337528,5,60.15653,24.88541,Heikkiläntie,0.2946374705908292,49576.240511858865,1013.9520305332655,3167.3129474215066,2996.9462294451596,0.30424487669078026,47150.52800672915,1192.5122099121463,3368.8430868752775,2904.5177965674834
1310143,4.585,0.8519,52,1.258,5.461,10.525,33,15,31,5,161,14,387,35,181,862,2,2,6,1,114,3,36,14,16,194,2.775,1.81,0.0001599286197248,0.0025728987993138,0.0735352126649621,0.0090379472337528,5,60.15661,24.8856,Heikkiläntie,0.29471083425113526,49558.248943387174,1015.0093472195872,3168.003761551983,2994.8463614896928,0.30852735345120263,46012.85520456322,1341.0508691588925,3607.0762076166675,3141.748942190502
1310145,3.988,0.8194,44,0.753,5.793,10.834,25,7,24,5,154,14,215,33,149,626,2,2,6,1,103,2,35,12,16,179,2.381,1.6070000000000002,2.9172537966887957e-05,0.0017152658662092,0.0685426432213609,0.0073371067079059,11,60.15336,24.88507,Vattuniemenkuja,0.2896754304504356,51022.14256763145,899.9178054390821,2901.391859179446,2853.577036110693,0.3077648603634615,46200.91011370929,1289.7374514486232,3533.1409838855975,3018.611132784757
1320199,2.613,0.6426,22,0.773,5.799,10.84,9,3,8,4,122,4,60,20,32,262,2,2,6,1,102,2,35,12,16,178,2.37,0.2429999999999998,2.9172537966887957e-05,0.0017152658662092,0.0685426432213609,0.0073371067079059,11,60.153323,24.884999,Vattuniemenkuja,0.28962079664128293,51038.07819595711,898.6593265357546,2898.448911832506,2851.978879273281,0.3009206082788108,48003.85274774725,1110.3572705796287,3256.647422219181,2856.388031291369
1310104,5.943,0.8851,94,1.64,5.025,10.115,48,17,41,6,195,20,483,46,232,1088,7,2,6,1,97,3,36,14,15,181,2.431,3.512,0.0004541022672737,0.0025728987993138,0.0793014011145657,0.0160545028971622,16,60.16085,24.88663,Koillisväylä,0.303248284630563,47176.880053150046,1191.4597915807446,3523.7165540341675,3108.9522145506116,0.3103067105887107,45575.481348442096,1358.2319139322394,3584.0893950106974,3134.589925523869
1310141,5.586,0.8607,61,1.855,5.098,10.173,41,16,36,6,189,19,444,44,207,1002,8,2,6,1,102,3,38,14,16,190,2.48,3.1060000000000003,0.0004541022672737,0.0025728987993138,0.0793014011145657,0.0160545028971622,16,60.159713,24.887872,Pajalahdentie,0.2998915040409742,48144.057012431214,1116.3522368442632,3354.3170166430555,3025.627316950981,0.3100275967745976,45667.73195813642,1371.7279067893542,3624.0345055225575,3166.440115860336
1310129,2.565,0.55,25,0.598,5.981,11.068,2,2,7,1,116,3,38,16,15,200,2,2,6,1,116,3,37,16,16,199,2.817,-0.2520000000000002,2.27776231002106e-06,0.0017152658662092,0.0604234533062104,0.0011897417776436,6,60.15365,24.87722,Särkiniementie,0.2936752783998146,49855.46407186237,992.0535056378455,3116.850786414166,2970.5812217613347,0.2965843518976598,49006.94344420337,1059.0634337765491,3273.553206862417,3055.6779004153523
1310130,3.832,0.6522,38,1.673,5.982,11.074,9,3,9,4,147,4,62,23,33,294,2,2,6,1,115,3,35,16,16,196,2.833,0.9989999999999996,2.27776231002106e-06,0.0017152658662092,0.0604234533062104,0.0011897417776436,6,60.1539,24.8764,Särkiniementie,0.2944784812936238,49621.185280316764,1010.5551241891889,3160.1167395309135,2994.0766400101643,0.30375231882526654,47096.13873224692,1190.764966428185,3487.434311874492,3041.106102044681
1310131,2.366,0.5072,24,0.445,5.834,10.901,2,2,6,1,114,3,37,16,15,196,2,2,6,1,112,3,37,15,16,194,2.762,-0.3959999999999999,6.451984977548237e-07,0.0025728987993138,0.0570168513509191,5.8710959998513645e-05,12,60.15394,24.88144,Kiviaidankatu,0.29238242436762724,50232.564655837195,962.2728707192434,3047.2089034297355,2932.762450869128,0.2954565260141838,49335.90850034441,1033.0841893674017,3212.8008587640347,3022.6865590639127
1532143,3.719,0.6548,35,1.484,5.855,10.931,9,3,9,4,144,4,62,23,33,291,2,2,6,1,114,3,37,16,16,197,2.757,0.9619999999999996,6.451984977548237e-07,0.0025728987993138,0.0570168513509191,5.8710959998513645e-05,12,60.15414,24.879996,Heikkilänpolku,0.2929756408269585,50059.5348569056,975.9374936103201,3079.163563597585,2950.115312682132,0.3036580748547686,47126.34410778104,1188.0897642242742,3479.7579737245887,3034.9644074223997
1310109,3.54,0.6448,38,0.77,5.718,10.85,8,3,8,2,139,3,46,18,17,244,2,2,7,1,98,3,31,15,16,175,2.982,0.5579999999999998,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15817,24.87228,Lauttasaaren kirkko,0.30222292750461077,47362.27969931799,1188.9468989094564,3577.2851153701226,3220.6184070221857,0.3017152165902895,47609.58985694938,1158.829969461891,3454.9715976321986,3082.121876025193
1310110,4.491,0.7292,47,1.494,5.755,10.887,12,5,17,4,166,12,112,35,92,455,2,2,7,1,97,3,31,15,16,174,2.994,1.4969999999999994,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15792,24.87184,Lauttasaaren kirkko,0.30203011784589434,47418.51855775658,1184.505566854901,3566.8990800124566,3214.9783083511356,0.3067766629336874,46341.80537563718,1255.4750757116724,3558.7225251625596,3036.5040700462446
1310127,3.571,0.6488,39,1.136,5.72,10.843,8,3,8,2,139,3,46,18,17,244,2,2,7,1,108,3,33,16,15,187,3.063,0.508,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15759,24.87384,Hevosenkenkäpuisto,0.30065816217549085,47818.69156384715,1152.9028414678235,3492.996246529844,3174.845643810909,0.30164960385414724,47628.51696794883,1157.3577424371642,3451.6390649706327,3080.4653254933646
1310128,4.276,0.7059,44,2.507,5.742,10.864,12,5,17,4,162,12,112,30,91,445,2,2,7,1,109,3,33,17,15,189,3.027,1.2489999999999997,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15729,24.87399,Hevosenkenkäpuisto,0.2999911252328395,48013.25337387687,1137.5377784585748,3457.0651146697205,3155.333373529252,0.3058458385729676,46578.12737912196,1241.3858930166996,3543.595735762007,3056.0091592445806
1310146,3.618,0.7902,39,0.924,5.981,10.999,12,5,18,4,146,12,114,32,94,437,2,2,5,1,80,2,32,11,15,150,2.038,1.58,5.516341067816499e-06,0.0025728987993138,0.0641990845597642,0.0056489562749176,7,60.15126,24.88587,Nahkahousuntie,0.2844564402115659,52544.42135381962,779.6994056213031,2620.2616631453925,2700.9103071385575,0.30649162282358644,46517.62477523502,1234.7907034405325,3458.2345897509867,2923.3487442254627
1310200,3.003,0.6476,30,0.97,6.058,11.069,9,3,8,4,130,4,61,23,32,274,2,2,5,0,72,2,25,10,14,132,1.893,1.11,5.516341067816499e-06,0.0025728987993138,0.0641990845597642,0.0056489562749176,7,60.150452,24.886015,Nahkahousuntie,0.2816867255678918,53352.29369174011,715.8995809091408,2471.06605535611,2619.8901757562985,0.30215587528073956,47607.801988014435,1145.448440965906,3357.401160466858,2937.069008951194
1310133,2.682,0.5675,25,0.476,6.099,11.136,8,3,7,2,121,3,45,17,16,222,2,2,5,0,80,2,30,10,13,144,2.077,0.605,1.0865156187602604e-06,0.0017152658662092,0.0603763603102843,0.0005789591950414,8,60.15089,24.88264,Melkonkatu,0.2841632443165844,52629.94094107691,772.9456966250092,2604.468144541227,2692.333694386627,0.2992077878939189,48369.713539347154,1095.7330045442184,3292.382796411431,2972.9407088988796
1310134,3.221,0.598,28,0.758,5.989,11.037,8,3,8,2,130,3,46,17,17,234,2,2,6,1,94,3,35,12,16,171,2.317,0.904,2.944721962852135e-07,0.0017152658662092,0.0569805046109808,1.1778649725042146e-05,9,60.15206,24.88245,Melkonkatu,0.2876868755413793,51602.165678362995,854.1118395002932,2794.2748105128535,2795.407512993735,0.30107549461233424,47802.8820197924,1142.8505841651838,3414.101516605502,3055.0623412436253
1310137,3.624,0.7297,34,1.071,6.216,11.252,12,5,17,4,146,12,112,30,90,428,1,2,5,0,72,2,27,10,7,126,1.995,1.629,1.024665698774453e-06,0.0017152658662092,0.060354408691203,0.0016902362355435,10,60.149985,24.881588,Melkonkuja,0.28245330567179855,53128.69706161041,733.5576007953343,2512.3592567271426,2642.314298355137,0.3051886591117892,46812.976369116564,1221.3369103314087,3471.958810962976,2993.938527730081
1310101,4.919,0.8152,60,1.82,4.875,9.945,25,7,25,5,174,14,217,36,150,653,7,3,6,2,90,3,37,15,16,179,2.305,2.6139999999999994,0.0022433453524888,0.0034305317324185,0.0858961731617188,0.0370099477006918,13,60.16126,24.89056,Lauttasaaren silta,0.3063169925669509,46402.70506736983,1239.6983714212504,3573.296189781414,3048.0478573069663,0.3080693347012722,46032.31072641429,1301.4191202108188,3609.5517486654785,3091.207558743097
1310102,6.618,0.8776,102,3.115,4.871,9.937,55,20,60,6,214,22,549,49,288,1263,7,3,6,3,91,2,36,15,17,180,2.322,4.296,0.0022433453524888,0.0034305317324185,0.0858961731617188,0.0370099477006918,13,60.16113,24.89116,Lauttasaaren silta,0.30694502810591906,46245.132818958176,1249.409468474042,3582.611491465809,3034.5005895658205,0.31180714913660185,44798.59738318414,1468.3817340692635,3767.0013514380557,3167.027043821506
