stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
1,1,10,6,2,49,4,18,22,12,public_transport,
100,4,76,56,16,54,14,279,46,139,public_transport,
1000,18,94,73,8,177,31,163,79,131,public_transport,
1001,10,70,47,4,111,27,95,53,72,public_transport,
1002,18,80,65,7,141,26,146,67,108,public_transport,
1003,9,76,46,4,122,29,94,56,67,public_transport,
1004,15,73,50,6,117,25,111,58,84,public_transport,
1005,5,71,38,3,121,28,85,55,45,public_transport,
1006,10,79,52,4,133,30,110,61,80,public_transport,
1007,5,78,40,3,137,31,87,65,47,public_transport,
1008,10,77,51,4,119,31,107,58,77,public_transport,
1009,7,73,39,1,118,28,72,72,40,public_transport,
101,6,85,61,17,63,21,306,49,150,public_transport,
1010,5,77,40,3,133,30,85,62,47,public_transport,
1011,4,60,38,1,97,24,61,65,40,public_transport,
1012,4,73,38,1,124,27,77,63,51,public_transport,
1013,4,60,35,0,112,22,63,63,39,public_transport,
1014,3,64,38,1,99,24,64,63,39,public_transport,
1015,3,56,41,1,136,25,81,62,51,public_transport,
1016,4,62,39,1,145,26,69,72,41,public_transport,
1017,4,57,49,1,131,21,88,58,48,public_transport,
1018,2,59,42,0,132,24,73,61,45,public_transport,
1019,4,49,45,1,118,19,87,52,48,public_transport,
102,4,84,58,19,58,19,281,48,141,public_transport,
1020,2,56,41,0,126,24,73,58,45,public_transport,
1021,0,10,7,0,57,2,47,13,14,public_transport,
1022,0,10,7,0,56,2,47,13,14,public_transport,
1023,2,49,42,1,145,22,88,61,49,public_transport,
1024,4,43,43,1,112,18,87,51,45,public_transport,
1025,0,10,7,0,57,2,47,13,14,public_transport,
1026,0,9,7,0,55,2,37,13,13,public_transport,
1027,4,52,47,2,175,22,103,63,57,public_transport,
1028,0,9,7,0,57,2,37,13,13,public_transport,
1029,0,9,8,1,65,3,38,15,13,public_transport,
103,3,65,39,16,51,15,253,41,112,public_transport,
1030,2,41,37,1,137,19,82,54,44,public_transport,
1031,2,41,37,1,137,19,84,54,44,public_transport,
1032,2,18,22,1,53,6,41,27,26,public_transport,
