stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,Unnamed: 29,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
par_5_122,4.33,0.7294,17,3.661,1.56,4.1,50,68,86,7,66,20,613,53,89,1052,90,96,184,3,44,63,1735,42,219,2476,3.721,0.609,22,SOL,40.41685,-3.70309,1869,0.0244177623472248,0.0014570179698882,0.1372666666666666,0.0150769904952618,4729,39.668718,36.679753,37420.0,47364.0
par_5_69,1.625,0.5956,7,2.063,7.209,11.388,0,10,8,0,38,3,13,20,10,102,0,10,2,0,29,3,2,14,0,60,1.735,-0.1100000000000001,26,SAN CRISTÓBAL DE LOS ANGELES,40.34236,-3.68385,276,0.0027263408840986,0.0009713453132588,0.1158173022837214,0.0009713453132588,4753,31.983116,29.760547,24192.0,29521.0
par_5_70,1.118,0.7405,5,1.083,8.386,12.713,0,6,2,0,30,2,4,14,2,60,0,0,0,0,3,0,0,2,0,5,1.627,-0.5089999999999999,27,SAN CRISTÓBAL INDUSTRIAL,40.33191,-3.69872,380,0.0004651057874418,0.0004856726566294,0.1038011695906432,0.0,4755,32.100836,30.044808,26116.0,28765.0
par_5_15,0.469,,3,4.244,15.175,11.279,0,0,0,0,5,0,4,1,0,10,2,2,0,3,8,0,14,4,2,35,1.472,-1.003,30,CANTOBLANCO UNIVERSIDAD,40.54378,-3.70034,38,0.0104517540963821,0.0009713453132588,0.116822695035461,0.0009713453132588,4735,27.862357,36.986122,43694.0,51466.0
par_5_84,0.469,,3,4.244,16.297,12.188,0,0,0,0,5,0,4,1,0,10,0,0,0,0,0,0,0,1,0,1,1.1,-0.6310000000000001,33,UNIVERSIDAD P. COMILLAS,40.55406,-3.68334,31,0.00177973348523,0.0004856726566294,0.1046080373926738,0.0,4757,27.140586,36.51883,43853.0,50637.0
par_5_52,6.975,0.7346,34,6.86,4.641,9.066,12,50,58,1,176,15,157,64,77,610,0,17,4,1,61,4,13,25,3,128,2.529,4.446,41,ORCASITAS,40.36691,-3.70442,660,0.0029519976355447,0.0014570179698882,0.1203671226470244,0.013423528336041,4746,29.819798,31.162469,29165.0,30682.0
par_10_4,4.968,0.1276,28,1.825,9.204,4.773,1,23,29,5,96,5,105,29,47,340,1,10,17,0,40,2,45,10,22,147,2.586,2.382,58,ANTONIO SAURA,40.48546,-3.65353,818,0.0040181502728553,0.0009713453132588,0.099864196333301,0.00510960052023,4720,29.486986,30.124149,49000.0,58136.0
par_10_7,5.112,0.6328,28,2.162,10.314,5.925,1,16,27,5,110,5,126,28,45,363,0,4,15,5,51,4,40,13,19,151,2.936,2.176,65,MARIA TUDOR,40.49717,-3.65889,881,0.0002989512366865,0.0009713453132588,0.0815380959923966,0.000358458473444,4723,29.722855,29.459079,60386.0,56590.0
par_10_23,1.491,0.9307,5,6.218,9.345,9.739,2,13,23,2,36,1,63,9,22,171,0,8,11,1,59,2,21,12,15,129,2.91,-1.419,83,ESTACION DE ARAVACA,40.44833,-3.78591,95,6.464817331308682e-05,0.0009713453132588,0.09913813857191,0.0116556848085438,4718,33.949058,32.280405,71334.0,64023.0
par_8_07207,0.988,0.978,5,0.093,11.333,8.759,0,0,0,0,1,0,10,0,0,11,0,1,2,0,5,0,7,1,0,16,1.938,-0.95,1213,CTRA.A2-COL.FIN DE SEMANA,40.4494171142578,-3.56792831420898,196,0.0070844574224227,0.0009713453132588,0.1002239096573208,0.0019368784672783,4824,35.866891,35.961559,46775.0,46909.0
par_8_07208,1.559,0.9763,6,0.452,12.071,9.572,0,2,3,0,31,2,16,4,1,59,0,0,1,0,0,0,5,0,0,6,1.908,-0.349,1214,CTRA.A2-HOTEL,40.4491844177246,-3.55829167366028,134,0.0015412886631284,0.0014570179698882,0.0911667035643126,0.0009804793485059,4825,35.810911,35.363796,46785.0,45334.0
par_8_07301,1.485,0.9193,7,0.516,11.507,8.93,0,4,3,0,38,2,16,8,3,74,0,0,1,0,1,0,8,1,0,11,1.662,-0.1769999999999998,1219,CTRA.A2-COL.FIN DE SEMANA,40.449878692627,-3.56593918800354,198,0.0017058512111344,0.0009713453132588,0.0911182900385006,1.2586269041255114e-05,4829,36.094855,31.037673,47361.0,44393.0
par_8_07302,3.343,0.5115,18,1.606,10.525,7.824,0,15,15,0,68,7,21,21,11,158,1,5,5,1,13,2,47,4,10,88,2.146,1.197,1220,CTRA.A2-BARRIO DEL AEROPUERTO,40.4503173828125,-3.57906818389893,205,0.0084779926563693,0.0009713453132588,0.100160529260106,0.0009729096066968,4830,32.865572,30.935055,45685.0,46284.0
par_8_3016,5.857,0.492,34,1.693,6.751,4.664,3,51,33,3,130,21,78,60,57,436,1,26,13,1,71,10,52,33,16,223,3.454,2.403,1234,AV.ARCENTALES-SAN ROMUALDO,40.4336390662383,-3.61795681109194,1016,0.0005932781216354,0.0009713453132588,0.0854569602390636,0.0014610240099924,5073,29.737161,29.964282,30201.0,31666.0
par_8_07439,0.324,,2,0.0,7.831,9.004,0,2,2,0,7,0,3,3,3,20,0,13,10,1,33,2,13,13,7,92,1.839,-1.515,1285,AV.MEDITERRÁNEO-SANTA EUGENIA,40.3819923400879,-3.6034369468689,329,0.0001689434300132,0.0009713453132588,0.0975413330806764,0.0006920293063196,4846,28.015087,27.89288,39482.0,39101.0
par_8_07433,4.206,0.8505,26,3.91,1.87,4.227,11,48,55,1,117,13,149,57,90,541,5,49,51,6,103,13,111,34,93,465,2.883,1.3230000000000004,1295,AV.MEDITERRÁNEO-CONDE DE CASAL,40.406551361084,-3.66764974594116,1479,0.0010842178557992,0.0009713453132588,0.1063972715998346,0.0003976710656736,4845,31.351044,30.223808,49005.0,37467.0
par_8_10457,0.437,,2,0.0,10.04,10.187,0,4,4,0,9,0,6,3,1,27,0,0,0,0,0,0,1,0,0,1,0.856,-0.419,1304,CTRA.RIVAS JARAMA-LA JUNGLA,40.3914108055305,-3.57310370497324,20,8.236193328085895e-05,0.0014570179698882,0.0898851879338193,0.0005470930835803,4897,36.4,36.4,20667.0,20667.0
par_8_07687,2.515,0.678,13,0.671,7.169,11.146,1,22,17,1,72,7,28,26,22,196,0,2,3,0,23,0,0,7,0,35,1.349,1.166,1311,AV.LOS ROSALES-CENTRAL ELÉCT.VILLAVERDE,40.3440780639648,-3.67153072357178,384,0.0001130997006304,0.0009713453132588,0.0941946109154124,0.0009704013430807,4877,26.718716,29.744633,37579.0,30170.0
