stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
par_5_11,15.731,0.3417,190,16.914,0.076,4.487,124,243,279,19,378,83,1520,177,389,48,58,82,4,57,18,379,27,100,3.594,12.137,0,ATOCHA,40.40659,-3.6893,1675,0.04915130872683707,0.006313744536182613,0.14824681402548778,0.5362911117674126
par_5_133,3.419,0.7634,38,2.096,8.897,4.511,1,22,28,3,61,4,87,21,51,1,18,15,4,45,5,55,27,26,2.642,0.7770000000000001,1,FUENTE DE LA MORA,40.48475,-3.66282,948,0.08258928115808638,0.003399708596406022,0.12375285491044596,0.07921383528115049
par_5_142,3.217,0.6082,24,2.055,12.435,8.414,0,13,12,1,53,2,57,14,22,0,0,0,0,0,0,0,0,1,0.442,2.775,2,AEROPUERTO T4,40.49177,-3.59333,148,0.005025548407212635,0.0024283632831471587,0.10751396793901102,0.014688691830344916
par_5_144,4.447,0.7464,32,3.491,10.388,6.242,1,14,17,1,90,2,60,12,13,0,3,3,1,23,0,9,3,1,2.487,1.96,3,VALDEBEBAS,40.4823,-3.61642,137,0.017624688629606585,0.003399708596406022,0.11344352617079889,0.06462844821667478
par_5_18,6.362,0.4483,69,12.062,7.223,3.202,19,60,57,13,93,20,545,55,106,5,21,22,5,32,9,110,17,41,2.705,3.657,4,CHAMARTÍN,40.4721,-3.68247,2095,0.23143796587943447,0.004371053909664886,0.13835505980378981,0.27989504377169555
par_5_25,7.694,0.5816,91,4.901,0.802,5.236,48,107,107,8,226,19,412,76,124,29,62,68,1,79,10,256,40,94,3.112,4.582,5,DELICIAS,40.40037,-3.69277,1639,0.005228129428664929,0.0024283632831471587,0.12448609431680774,0.09175711777178346
par_5_46,9.76,0.277,138,8.817,1.64,5.488,57,125,140,8,276,36,477,103,143,7,22,19,3,85,3,66,12,22,2.757,7.003,6,MÉNDEZ ÁLVARO,40.39538,-3.67808,1661,0.012758297801290583,0.004371053909664886,0.13531808622502628,0.16183861169046104
par_5_51,6.884,0.6456,76,6.996,4.377,1.815,33,116,80,24,76,38,718,84,173,6,64,31,15,39,14,233,57,78,3.451,3.4330000000000003,7,NUEVOS MINISTERIOS,40.44662,-3.69234,1798,0.07859324954317251,0.0048567265662943174,0.14472481900611514,0.3626547536588568
par_5_57,9.918,0.6312,107,21.183,1.906,5.772,63,143,191,9,272,34,636,106,199,30,63,97,6,104,24,301,56,124,3.527,6.390999999999999,8,PIRÁMIDES,40.4026,-3.71134,1823,0.0011214380638721309,0.001942690626517727,0.11628169650420737,0.09451064165615668
par_5_61,9.018,0.473,114,15.328,3.014,4.916,58,133,178,8,212,35,712,98,227,15,14,18,1,35,6,102,5,11,1.875,7.143000000000001,9,PRÍNCIPE PÍO,40.42107,-3.72026,1539,0.0003612730604687493,0.0048567265662943174,0.10903987713816661,0.10712953010522518
par_5_10,6.632,0.6065,112,4.47,3.377,6.982,20,64,48,2,137,21,125,68,48,5,38,10,0,69,13,9,44,10,3.302,3.3299999999999996,17,ASAMBLEA DE MADRID-ENTREVÍAS,40.38167,-3.668,1398,0.011307863655275429,0.003885381253035454,0.13214812913163468,0.12207394890727108
par_5_59,8.143,0.7873,103,6.241,4.484,7.72,14,69,48,1,152,23,92,80,47,4,23,10,0,42,7,10,25,4,2.893,5.250000000000001,18,POZO EL,40.3759,-3.65623,1365,0.0027397933865600564,0.003885381253035454,0.11942462734180152,0.0974554063307659
par_5_75,8.875,0.6691,110,6.232,7.196,8.273,6,61,55,3,176,22,96,67,54,1,10,9,0,33,2,14,12,6,1.959,6.916,19,SANTA EUGENIA,40.38699,-3.60906,319,0.00021818523431617264,0.0024283632831471587,0.09898086722430535,0.007735805027037633
par_5_87,9.522,0.7055,127,8.791,6.181,7.963,7,76,56,2,210,28,109,95,64,2,17,24,2,69,7,51,29,28,3.217,6.305,20,VALLECAS,40.38221,-3.62455,303,0.0006963262471246138,0.004371053909664886,0.10861996201730323,0.06222299513021464
par_5_90,5.956,0.6336,98,3.211,7.977,7.976,1,34,32,1,82,14,54,45,34,0,12,11,0,29,5,7,15,10,2.712,3.244,21,VICÁLVARO,40.40132,-3.59593,496,0.0002118020969538182,0.003885381253035454,0.10013617352397626,0.01972303341832284
par_5_122,4.451,0.8061,49,3.64,1.56,4.1,51,68,90,8,63,20,623,54,82,90,96,184,3,44,63,1735,42,219,3.721,0.7299999999999995,22,SOL,40.41685,-3.70309,1869,0.024417762347224824,0.0014570179698882952,0.13726666666666668,0.015076990495261849
par_5_145,6.949,0.476,79,3.052,10.392,6.914,4,43,32,9,157,11,178,43,81,0,5,6,2,51,1,18,11,6,2.567,4.382,23,MIRASIERRA-PACO DE LUCÍA,40.49971,-3.70918,712,0.14948987701196642,0.0029140359397765905,0.12654415831848073,0.027333902796300782
par_5_58,4.463,0.5771,48,2.338,10.218,7.274,0,17,13,5,111,5,53,26,25,0,5,0,2,40,2,6,7,0,2.454,2.009,24,PITIS,40.4951,-3.72584,700,0.028143933941486052,0.001942690626517727,0.11267374411732516,0.015278655035502261
par_5_64,7.766,0.4768,122,8.111,8.998,5.241,10,58,57,12,155,17,276,61,123,1,17,22,4,43,8,44,21,28,2.48,5.286,25,RAMÓN Y CAJAL,40.48824,-3.69473,2018,0.5358903376701282,0.009713453132588635,0.13259917568263782,0.20362471881552988
par_5_69,1.66,0.6285,18,3.097,7.209,11.388,0,7,2,0,31,3,7,18,3,0,10,2,0,29,3,2,14,0,1.735,-0.07500000000000018,26,SAN CRISTÓBAL DE LOS ANGELES,40.34236,-3.68385,276,0.002726340884098624,0.0009713453132588635,0.11581730228372146,0.0009713453132588635
par_5_70,1.079,0.7772,7,0.775,8.386,12.713,0,6,2,0,24,3,4,13,2,0,0,0,0,3,0,0,2,0,1.627,-0.548,27,SAN CRISTÓBAL INDUSTRIAL,40.33191,-3.69872,380,0.0004651057874418504,0.00048567265662943174,0.10380116959064327,0.0
par_5_93,5.124,0.4875,57,4.235,6.072,10.255,7,30,30,0,103,9,54,50,27,1,22,14,0,83,5,21,30,15,3.039,2.0849999999999995,28,VILLAVERDE BAJO,40.35264,-3.68398,404,0.015518229701200729,0.003399708596406022,0.13096298180893015,0.06398432784977405
par_5_15,0.474,,4,4.262,15.175,11.279,0,0,0,0,5,0,4,1,0,2,2,0,3,8,0,14,4,2,1.472,-0.998,30,CANTOBLANCO UNIVERSIDAD,40.54378,-3.70034,38,0.010451754096382177,0.0009713453132588635,0.116822695035461,0.0009713453132588635
par_5_31,1.096,0.8502,10,3.99,10.483,6.392,0,1,1,0,6,1,16,2,7,1,5,1,0,23,3,12,9,5,1.542,-0.44599999999999995,31,FUENCARRAL,40.50156,-3.68234,348,0.059600283981799125,0.001942690626517727,0.13224998394244974,0.011674561741873557
par_5_84,0.46,,3,4.237,16.297,12.188,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,1,0,1.1,-0.6400000000000001,33,UNIVERSIDAD P. COMILLAS,40.55406,-3.68334,31,0.0017797334852300373,0.00048567265662943174,0.10460803739267388,0.0
par_5_92,7.192,0.4785,92,4.496,7.557,11.974,2,37,42,1,157,13,73,61,51,0,10,19,0,31,4,23,18,23,2.923,4.269,34,VILLAVERDE ALTO,40.34123,-3.71193,390,0.0036249869910262786,0.003885381253035454,0.11655816586470422,0.029723998069546308
par_5_1,6.7,0.5433,82,2.929,8.206,11.623,3,77,63,6,179,27,145,81,135,0,21,10,1,44,4,24,26,25,2.587,4.1129999999999995,35,ÁGUILAS LAS,40.38119,-3.78027,1246,0.00020673325034589526,0.0029140359397765905,0.10307884856070088,0.016185110529968082
par_5_24,4.607,0.5796,64,1.911,9.228,12.613,2,50,42,5,124,17,99,50,89,0,2,1,0,21,1,4,3,2,1.199,3.4080000000000004,36,CUATRO VIENTOS,40.37771,-3.79143,439,0.00011553208753439318,0.0024283632831471587,0.09712722298221614,0.0040384377050728835
par_5_26,8.155,0.7796,92,6.419,3.223,7.642,36,83,99,3,217,20,285,85,105,3,24,13,1,64,10,40,26,14,3.416,4.738999999999999,37,DOCE DE OCTUBRE,40.37896,-3.69861,533,0.0030677280866139452,0.0014570179698882952,0.12069875139222698,0.01615247418887754
par_5_28,10.159,0.6122,130,8.937,1.121,5.127,90,154,211,12,235,59,1175,127,239,44,78,125,5,77,29,447,59,132,3.272,6.8870000000000005,38,EMBAJADORES,40.40513,-3.70262,1642,0.01507591162840973,0.003399708596406022,0.1348748853661732,0.15550349228096577
par_5_30,9.803,0.4033,125,7.762,7.181,10.674,17,112,119,8,214,40,254,126,195,2,26,18,3,55,7,49,37,59,2.989,6.814000000000001,39,FANJUL,40.38365,-3.76856,925,0.0008959695395570575,0.0024283632831471587,0.11222543195072764,0.022606784288678346
par_5_40,12.013,0.6878,130,10.21,4.709,7.986,36,159,171,11,311,50,379,155,226,3,44,38,3,91,14,81,37,33,3.555,8.458,40,LAGUNA,40.39918,-3.74422,1215,0.003476839052775647,0.003885381253035454,0.12358943577430972,0.13477758039282112
par_5_52,7.019,0.7897,79,6.679,4.641,9.066,14,51,55,1,179,15,126,65,68,0,17,4,1,61,4,13,25,3,2.529,4.49,41,ORCASITAS,40.36691,-3.70442,660,0.0029519976355447306,0.0014570179698882952,0.12036712264702444,0.013423528336041069
par_5_62,7.585,0.5836,116,5.082,6.449,10.85,4,53,48,2,192,15,90,70,66,1,27,33,0,93,7,49,32,46,3.382,4.202999999999999,42,PUENTE ALCOCER,40.35028,-3.70516,397,0.0014702676570492754,0.003885381253035454,0.10843690752053929,0.024262009760103183
par_5_7,12.245,0.1849,183,8.382,6.483,10.025,19,148,139,8,288,45,312,155,219,3,32,34,3,51,16,91,40,69,3.353,8.892,43,ALUCHE,40.38563,-3.76074,1271,0.0010325633783677967,0.004371053909664886,0.11416689769891877,0.07992807694441406
