"","Variable","Coefficient","SE","col","fcol","ypos","shape"
"1","Intercept",6.43825697264329,0.0994535253332026,"grey","grey",15,16
"2","Intercept",5.10588068171378,0.0838919654728908,"grey","grey",15,16
"3","Intercept",7.81913601890892,0.0630146941605249,"grey","grey",15,16
"4","Intercept",6.86856595198753,0.12278714754227,"darkblue","darkblue",13,16
"5","Intercept",4.45321526615076,0.115041095789341,"darkblue","darkblue",13,16
"6","Intercept",8.15807440911947,0.0990653225849206,"darkblue","darkblue",13,16
"7","Intercept",6.76486347394975,0.16776777061679,"orange","orange",11,16
"8","Intercept",5.82947166307451,0.121521566090839,"orange","orange",11,16
"9","Intercept",7.59611829789454,0.0860734469009866,"orange","orange",11,16
"10","Ellipticity",0.265349758250166,0.0736194890987624,"grey","grey",7,16
"11","Ellipticity",0.0951742042836017,0.0420900298464123,"grey","grey",7,16
"12","Ellipticity",-0.150181040851472,0.0421978962652594,"grey","grey",7,16
"13","Ellipticity",0.478188261149977,0.0875163076302354,"darkblue","darkblue",5,16
"14","Ellipticity",0.139927985819948,0.0604986445243388,"darkblue","darkblue",5,16
"15","Ellipticity",-0.421569056387229,0.0720147914116373,"darkblue","darkblue",5,16
"16","Ellipticity",0.0178890259854998,0.115896944224304,"orange","orange",3,16
"17","Ellipticity",0.0914498436326507,0.0590738719236616,"orange","orange",3,16
"18","Ellipticity",0.0195280684221424,0.0467789621415269,"orange","orange",3,16
