"","stop_id","weighted_net_income_hh_multi","weighted_net_income_hh_walk","percent_change_income","log_change_income","weighted_gini_multi","weighted_gini_walk","percent_change_gini","log_change_gini","area","ellipticity","number_of_accessible_stops","concave_area","distance_betweenness","distance_from_landuse_centroid","cultural_institutions_multimodal","drugstores_multimodal","groceries_multimodal","healthcare_multimodal","parks_multimodal","religious_organizations_multimodal","restaurants_multimodal","schools_multimodal","services_multimodal","cultural_institutions_walk15","drugstores_walk15","groceries_walk15","healthcare_walk15","parks_walk15","religious_organizations_walk15","restaurants_walk15","schools_walk15","services_walk15","walk_area","area_difference","stop_name","stop_lat","stop_lon","cluster","eigenvector_centrality","degree_centrality","closeness_centrality","betweenness_centrality","cultural_institutions_multimod_d","drugstores_multimodal_d","groceries_multimodal_d","healthcare_multimodal_d","parks_multimodal_d","religious_organ_multimod_d","restaurants_multimodal_d","schools_multimodal_d","services_multimodal_d","cultural_institutions_walk15_d","drugstores_walk15_d","groceries_walk15_d","healthcare_walk15_d","parks_walk15_d","religious_organizations_walk15_d","restaurants_walk15_d","schools_walk15_d","services_walk15_d","multimod_sum","walk_sum","gini_diff","access_diff"
"1","1",70683.7936235308,89273.7339027118,-20.8235272195961,-0.233490992152513,39.2039807823437,43.492812073812,-9.86101170968125,-0.103817392548075,4.926,0.2814,62,1.421,10.538,9.886,1,10,6,2,49,4,18,22,12,0,3,2,2,13,2,9,7,1,2.212,2.714,"Avenida Valdemarín - Blanca De Castilla",40.4701,-3.78288,117,4.00065154241746e-08,0.0009713453132588,0.0656547941711042,0.0020994377252599,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,8,-4.28883129146826,1
"2","100",64596.0074275979,68473.2255080871,-5.66238562842532,-0.0582901960118696,37.0831744953315,36.7969765753781,0.777775639711034,0.00774766557516894,3.716,0.5714,52,1.006,5.58,1.88,4,76,56,16,54,14,279,46,139,3,65,43,17,45,14,249,52,115,3.576,0.14,"Padre Damián - Lázaro Galdiano",40.45742,-3.68557,1702,0.0004145335255989,0.0009713453132588,0.0912960581740788,0.0008536760879512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.286197919953459,0
"3","1000",35930.8440651091,34502.5456419562,4.13968997526982,0.0405629847427089,32.0070820392278,32.6726004212174,-2.03693116987836,-0.0205796270150528,5.768,0.4909,85,1.306,1.997,5.16,18,94,73,8,177,31,163,79,131,8,61,52,5,119,19,117,40,82,3.63,2.138,"Puente De Vallecas",40.39807,-3.6694,1658,0.0001435976366336,0.0029140359397765,0.0983003914828606,0.0107645549127035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.665518381989585,0
"4","1001",32105.6383038909,32002.3577452204,0.322727967397741,0.00322208318427908,31.9157406708839,33.0469776687133,-3.42311786926408,-0.0348307888269353,4.149,0.6567,58,0.795,2.285,5.318,10,70,47,4,111,27,95,53,72,9,53,38,5,117,21,84,37,61,3.576,0.573,"Junta Municipal Puente De Vallecas",40.39676,-3.66646,1656,2.87078057670005e-05,0.0014570179698882,0.0900424192067171,0.0022900619709351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-1.13123699782944,0
"5","1002",36395.7102785203,31667.0070536647,14.9325865145452,0.139175566268941,32.2043947763119,33.0606841410286,-2.59005337295498,-0.026241859126073,4.709,0.6266,61,1.085,2.32,5.321,18,80,65,7,141,26,146,67,108,9,55,37,4,116,21,78,40,53,3.555,1.154,"Junta Municipal Puente De Vallecas",40.39676,-3.66598,1656,2.87078057670005e-05,0.0014570179698882,0.0900424192067171,0.0022900619709351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.856289364716702,0
"6","1003",30469.2818614028,29214.1525610076,4.29630569558419,0.0420657554065217,31.5670344755575,32.9338658220807,-4.15023050712375,-0.0423881213728167,4.826,0.5286,63,1.576,2.612,5.527,9,76,46,4,122,29,94,56,67,5,54,34,3,106,23,63,45,41,3.67,1.156,"Nueva Numancia",40.3951,-3.66326,1654,6.6769019281328e-06,0.0009713453132588,0.0831784762058657,0.0004822681730409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-1.3668313465232,0
"7","1004",33731.9608185493,29384.4331638551,14.7953429302216,0.137980730264603,32.2860712546234,32.9812891531551,-2.10791608327773,-0.0213044985899081,4.163,0.7152,57,0.897,2.589,5.497,15,73,50,6,117,25,111,58,84,5,52,33,3,110,23,63,45,41,3.649,0.514,"Nueva Numancia",40.39536,-3.66338,1654,6.6769019281328e-06,0.0009713453132588,0.0831784762058657,0.0004822681730409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.695217898531688,0
"8","1005",28877.2890614542,28068.2583826512,2.88236864494255,0.0284160976123753,31.3693796896281,32.6826571380549,-4.01827012681182,-0.0410123264531848,4.695,0.5774,57,1.119,2.848,5.684,5,71,38,3,121,28,85,55,45,6,54,30,1,91,24,53,47,37,3.671,1.024,"Avenida De La Albufera - Sierra Del Cadi",40.39391,-3.66096,1669,1.03679148053171e-05,0.0019426906265177,0.082694084099763,0.0013825043973539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-1.31327744842679,0
"9","1006",31566.8435937618,28128.9950604582,12.2217253972796,0.115306419348241,31.7511369175482,32.6689874292498,-2.80954686364053,-0.0284976981072102,4.868,0.6417,64,1.305,2.848,5.668,10,79,52,4,133,30,110,61,80,6,56,30,1,91,24,54,47,37,3.681,1.187,"Avenida De La Albufera - Sierra Del Cadi",40.39408,-3.66082,1669,1.03679148053171e-05,0.0019426906265177,0.082694084099763,0.0013825043973539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.917850511701605,0
"10","1007",29173.135896772,27194.7569044568,7.27485448487691,0.0702240884204057,31.0189979065214,32.2988471574288,-3.96252301102037,-0.0404316853989001,5.553,0.5345,71,1.388,3.156,5.899,5,78,40,3,137,31,87,65,47,6,53,25,1,90,22,46,49,34,3.607,1.946,"Portazgo - Estadio De Vallecas",40.39234,-3.65795,1669,1.03679148053171e-05,0.0019426906265177,0.082694084099763,0.0013825043973539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-1.27984925090741,0
